,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
1178,AGt3,Silver transport out via proton antiport,Inner Membrane,Inorganic Ion Transport and Metabolism,22.0,b0572 and b0574 and b0573 and b0575,221533.0,27608.5616,12,[221533.0],[27608.5616],['Inner Membrane'],[12]
1179,CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,22.0,b3915 or b0752,32927.0,11304.93667,6,"[32927.0, 34678.0]","[11304.93667, 13959.83387]","['Inner Membrane', 'Inner Membrane']","[6, 6]"
1180,ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,95.19583333,b1859 and b1858 and b1857,89373.0,15617.48276,7,[89373.0],[15617.48276],['Inner Membrane'],[7]
1181,SKMt2pp,Shikimate transport in via proton symport (periplasm),Inner Membrane,"Transport, Inner Membrane",22.0,b1981,47817.0,27620.32192,12,[47817.0],[27620.32192],['Inner Membrane'],[12]
1182,FE2t2pp,Iron (II) transport in via proton symport (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,22.0,b2392,44194.0,24027.80583,11,[44194.0],[24027.80583],['Inner Membrane'],[11]
1183,R5PPpp,Ribose 5-phosphate phosphatase,Cytoplasmic,Alternate Carbon Metabolism,67.0,b4055 or b0383,26104.0,0,0,"[26104.0, 49439.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
1184,PSP_Lpp,Phospho-L-serine phosphatase (periplasmic),Cytoplasmic,Glycine and Serine Metabolism,37.55,b4055 or b0383,26104.0,0,0,"[26104.0, 49439.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
1185,TYRPpp,Phospho-L-tyrosine phosphatase (periplasmic),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",62.4,b4055,26104.0,0,0,[26104.0],[0.0],['Cytoplasmic'],[0]
1186,GLYC2Ptex_f,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1187,PSERtex_f,Phospho-L-serine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1188,R5Ptex_f,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1189,THRPtex_f,Phospho-L-threonine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1190,TYRPtex_f,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
