,forward,reverse
LPLIPAL1G181pp,1016.0,
2AGPEAT180,46.80901367,
GLCURtex,100000000.0,100000000.0
ASPO5,0.267,
SUCBZS,52.0,
CMPtex,100000000.0,100000000.0
2AGPGAT160,0.016,
ACPPAT160,1500.0,
EAR121y,5.3,
12DGR141tipp,,
PGSA120,1.0,
PYDXtex,100000000.0,100000000.0
RIBtex,100000000.0,100000000.0
AOXSr2,0.028,
OROTt2_2pp,22.0,
DASYN161,8.92,
DHDPRy,5.35,
PSERtex,100000000.0,100000000.0
UGLT,628.8,283.0
TRPS3,1.49325,
3HPPPNH,117.0090215,
SCYSDS,0.5,
MCITL2,19.0,19.0
MALDtex,100000000.0,100000000.0
GLYCLTt2rpp,22.0,22.0
3HAD120,368.4865,
AACPS6,21.94,
DAAD,0.74,
AMPMS2,2.848283333,
LYXI,73.8,
PHEt2rpp,22.0,22.0
MANPGH,72.26175,
ORPT,1.95,5.433333333
QUINDH,0.092,
PHDA,94.65,
FUSAtex,100000000.0,100000000.0
DPR,12.56,
MINCYCtex,100000000.0,100000000.0
HEPT1,79.47949376,
NNDMBRT,1.6,
GLUt2rpp,22.0,22.0
ASPO3,0.267,
PYK2,3204.0,
LIPOtex,100000000.0,100000000.0
MLTG5,845.0,
3UMPtex,100000000.0,100000000.0
ASPtpp,100000000.0,100000000.0
TARTRtex,100000000.0,100000000.0
NDP3,660.3553889,
FEENTERR4,1.475,
UAG2E,3.625,3.625
FACOAE120,7.3455,
ZN2t3pp,22.0,
CHLt3pp,22.0,
PPCK,38.0,
FACOAE160,3.7,
ECOAH3,380.5,7.5465
CFAS180E,0.067,
G3PAT120,166.8,
PTRCtex,100000000.0,100000000.0
ASAD,249.6225,15.6
ALAt4pp,22.0,
RNDR1b,8.115,
UDPGPT,5.315,1.0
LYSt3pp,22.0,
PLIPA2E141pp,2.48,
GALM2pp,12000.0,
SELabcpp,95.19583333,
DGMPtex,100000000.0,100000000.0
GTHRDabc2pp,22.0,
PSURIK,14.80483333,
F1PP,0.012,
LPLIPAL2A120,1016.0,
LPLIPAL2A161,1016.0,
TRPAS2,5.4,5.4
CYTBD2pp,320.5,
MALTATr,32.4876,109.4666667
THRA2,3.55,
3AMACHYD,111.8694444,
LPLIPAL2ATG161,1016.0,
GLYBtex,100000000.0,100000000.0
GTPCII2,0.064,
RPNTPH,90.13177273,
PGK,1480.0,2633.0
O16GALFT,3.236666667,
ARAI,23.65,241.7
SO2tex,100000000.0,100000000.0
3OAR100,99.3,0.59
PLIPA2E161pp,2.48,
PPPNtex,100000000.0,100000000.0
LPLIPAL1G160pp,1016.0,
AGDC,95.875,
2AGPA161tipp,100000000.0,
DHBD,25.3,25.3
APPLDHr,3.3,3.3
PYRtex,100000000.0,100000000.0
SERt4pp,22.0,
AGM4Pt2pp,22.0,
RNDR2b,8.115,
H2Otpp,100000000.0,100000000.0
AIRC2,5.9,
PNTOt4pp,22.0,
HXCT,290.0,
DHPStex,100000000.0,100000000.0
ECOAH6,380.5,7.5465
FE3Ri,17.37,
LALDO3,,
INStex,100000000.0,100000000.0
OPHHX3,,
DHQS,16.0,
GLYCTO2,15.7,
LPLIPAL1E160pp,1016.0,
CBLAT,0.05,0.11
KG6PDC,54.25,
NTP1,8.6095,
MTAN,4.0,
ACOAD4f,782.8622222,782.8622222
GLCUR1Ptex,100000000.0,100000000.0
MOX,,
METOX1s,,
HSTPT,426.0,
PHEtipp,22.0,
GSNtex,100000000.0,100000000.0
GLYAT,27.07633333,109.4666667
3OAR160,99.3,0.59
SO4tex,100000000.0,100000000.0
ADMDC,0.088,
RBP4E,15.825,15.825
COBALT2abcpp,300.0,
ETOHtex,100000000.0,100000000.0
LPLIPAL2E180,1016.0,
FE3DCITexs,,
FUMt2_2pp,22.0,
FACOAL180t2pp,0.029,
3OAR60,99.3,0.59
CPGNexs,,
GLYCK2,62.68985714,
Ftex,100000000.0,100000000.0
ADA,11.5,
PA160abcpp,95.19583333,
GPDDA5pp,3.2,
PAI2I,1265.461667,
AGPAT180,46.80901367,
TREptspp,3204.0,
SPMS,0.14,
PTA2,1500.0,
BALAtex,100000000.0,100000000.0
TGBPA,5.38,5.38
2AGPE161tipp,100000000.0,
DXYLONtex,100000000.0,100000000.0
PPPNt2rpp,22.0,22.0
G1PTT,12.008,
CLPNS181pp,1.0,0.025375
O16A4Lpp,18.3185,
PA140abcpp,95.19583333,
G3PAT180,166.8,
GPDDA4pp,3.3,
NDPK2,571.5,783.0
CDGUNPD,0.000363333,
ALLTNt2rpp,22.0,22.0
ARBTptspp,3204.0,
MN6PP,0.012,
SBTtex,100000000.0,100000000.0
LPLIPAL1G161pp,1016.0,
ACODA,2700.0,
MC6PH,2.0,
LPLIPAL1A120pp,1016.0,
MECDPS,2.7,
ARGSS,4.212083333,
EAR121x,5.3,
SHKK,35.0,
GLUSy,4.35,
G5SD,176.8525,
ARBtex,100000000.0,100000000.0
BUTt2rpp,22.0,22.0
3OAS80,1.63,
ASNt2rpp,22.0,22.0
NACtpp,,
PLIPA1A181pp,2.48,
NTD9,11.0,
FEENTERES,22.0,
PGPP180pp,24.0,
TTRCYCtpp,22.0,
PPDOy,38.1,
CS,51.0,
AMALT4,1.3,
AGPAT141,46.80901367,
PMPK,0.07,
4ABZGLUtr,22.0,22.0
2AGPG181tipp,100000000.0,
MCPST,12.5,
UDCPDPpp,9.0,
SDPTA,17.13666667,0.67
PLIPA2E160pp,2.48,
H2Stex,100000000.0,100000000.0
LEUt2rpp,22.0,
AGMH,185.2,
TMAtex,100000000.0,100000000.0
PYDXNK,0.3,
3HAD60,368.4865,
ABUTtex,100000000.0,100000000.0
DHMPTR,19.2,
TAURabcpp,95.19583333,
G2PPpp,1831.0,
NTP5,449.17,
MNNH,0.81,
OROTtex,100000000.0,100000000.0
THMDt2pp_copy1,22.0,
OPHHXy,6.470507937,
GALTptspp,3204.0,
PEAMNtex,100000000.0,100000000.0
PDE4,0.000363333,
ACGAtex,100000000.0,100000000.0
ALLTN,310.85,
GSPMDS,4.2,
F6PA,25.7,0.002
M1PD,9.55,125.0
CHORM,233450.0,
ACONTa,19.6,5.2
CHOLID,107.15,
ASPK,28.05,22.13
G3PT,9.84,
UPLA4FNF,111.8694444,
PLIPA1E160pp,1.1,
MG2tpp,100000000.0,
PLIPA1E181pp,2.48,
PLIPA1G181pp,2.48,
LPLIPAL1G120pp,1016.0,
NTPP11,1009.0,
UAMAGS,19.6,
GLU5K,908.0,
ARBt2rpp,22.0,22.0
2AGPA180tipp,100000000.0,
ADNCYC,1.67,
ASNS1,2.68,
CDPMEK,14.80483333,
SQtex,100000000.0,100000000.0
3HBZCT,10.3,
NDPK4,571.5,783.0
LPLIPAL1A180pp,1016.0,
CFAS160G,0.067,
LALGP,0.7,
EAR100x,5.3,
COLIPAKpp,96.06077778,
EAR140x,5.3,
AGM4PApp,25.0,
AGPAT140,46.80901367,
LPLIPAL1E120pp,1016.0,
CPL,126.7850538,
HISt2rpp,22.0,22.0
ASCBptspp,3204.0,
FE2tex,100000000.0,100000000.0
ASPt2_3pp,22.0,
CRNDt2rpp,22.0,22.0
ARBt3ipp,22.0,
ACALDtex,100000000.0,100000000.0
G3PCtex,100000000.0,100000000.0
QMO3,69.50713596,
XYLUtex,100000000.0,100000000.0
RNDR2,8.115,
MPTSS,370.0,
PPCSCT,70.9,
NADH9,8.9,
PAPA140,152.0,
GDPTPDP,2.985,
ARBTNexs,,
WCOS,1.375,
CLPNH181pp,,
RNDR4b,8.115,
2AGPA141tipp,100000000.0,
SSALy,22.6,
FESD2s,,
FE3HOXexs,,
PYK4,3204.0,
H2tex,100000000.0,100000000.0
O16GLCT2,,
LIPOCT,0.2,
FE3DCITR5,1.475,
PYDXPP,1.52,
SERASr,370.0,2.133333333
FECRMtonex,22.0,
FCLPA,19.0,9.83
FRULYSE,9201.8125,9201.8125
12PPDRtex,100000000.0,100000000.0
NNAM,11.65,
LPLIPAL1E161pp,1016.0,
ACOAD7f,2.3825,2.33
MLDEP2pp,0.5,
CHOLATEtpp,22.0,
ILEtex,100000000.0,100000000.0
FE3HOXR1,,
LCTStex,100000000.0,100000000.0
2AGPGAT161,0.016,
ILEt3pp,22.0,
CHORS,29.0,
PROabcpp,0.097333333,
ICYSDS,0.5,
LEUTAi,15.655,
BWCOGDS2,0.0048,
LIPOt2pp,,
ADSS,1.59,
CHOLD,0.08,
PANTS,1.4,
L_LACD3,53.847349,
GLYCLTtex,100000000.0,100000000.0
GALURt2rpp,22.0,22.0
IPPMIb,10.0,368.4865
PPC,540.0,
METS,8.33,
MLTGY3pp,291.6204286,
PSD120,75.042,
CDPPH,700.0,
PYDAMK,0.55,
TDPGDH,4.9,
DAPabcpp,,
XYLUt2pp,22.0,
NAt3_1p5pp,22.0,
TMDPP,130.0,0.275
TARTRDtex,100000000.0,100000000.0
NTD6pp,0.3,
KDUI,1265.461667,
GRTT,0.345,
URAtpp,,
UMPK,229.0,68.68233333
DM_4crsol_c,,
GUAtpp,100000000.0,100000000.0
UDPGD,21.93333333,
GMPS,6.9,
MDDCP4pp,1.41,
OPHBDC,75.042,
G3PD2,113.1567,7.3275
CSND,165.0,
URIK1,0.0041,
H2Otex,100000000.0,100000000.0
PLIPA2A181pp,2.48,
PRASCSi,19.6,
CBL1tonex,22.0,
G3PItex,100000000.0,100000000.0
LDGUNPD,0.000363333,
UPP3MT,38.0,
MAN1PT2,22.1,
R1PK,,
NTD10pp,171.9466667,
PYROX,15.5,
RHCCE,0.4,
DKGLCNR2x,60503.775,
MNLptspp,72.77916667,
PA141abcpp,95.19583333,
APG3PAT120,166.8,
TYRPpp,62.4,
CD2tpp,22.0,
YUMPS,0.00833,0.00833
FE3tex,100000000.0,100000000.0
PG180abcpp,95.19583333,
AMANAPEr,9201.8125,9201.8125
CLPNS140pp,1.0,0.025375
PACCOAE,6.470507937,
CAT,2162.5,
PLIPA1A160pp,1.1,
XYLt2pp,22.0,
CYSDDS,72.0,
RNTR2c2,34.15,
MMETt2pp,22.0,
NMNtex,100000000.0,100000000.0
ACACT2r,1.4,14.8
NHFRBO,316.15,
TRDR,0.25,
GND,98.0,
FACOAL141t2pp,0.029,
DINSt2pp,22.0,
GAMptspp,3204.0,
ARMEPNS,1.0,
3OAR120,99.3,0.59
4ABZGLUtex,100000000.0,100000000.0
PSD160,75.042,
HEMEOS,2.076535714,
UDPGALtex,100000000.0,100000000.0
ACOTA,4.7,25.45
CYSabcpp,95.19583333,
PLIPA2A140pp,3.86,
BWCOS,1.375,
PGSA181,1.0,
2DDARAA,13.15414286,0.0121
GMPR,0.28,
CTECOAI7,63.0,63.0
XYLabcpp,95.19583333,
NTD5pp,0.195,
THRtex,100000000.0,100000000.0
ECOAH4,380.5,7.5465
HBZOPT,0.002,
DUTPDP,58.3,
ABUTt2pp,22.0,
PLIPA2G140pp,2.48,
GTPHs,,
SPODMpp,22300.0,
BTNt2ipp,,
URIt2pp_copy1,22.0,
FALDtex,100000000.0,100000000.0
LKDRA,0.35,0.3
ETHSO3abcpp,95.19583333,
ASPCT,417.0,
IMPC,8.6,8.6
CYTK1,68.68233333,68.68233333
AKGt2rpp,22.0,22.0
FE3HOXtonex,22.0,
3HAD141,368.4865,
PSSA160,1.0,
GLYCtex,100000000.0,100000000.0
PGM,14.0,275.0
FORt2pp,22.0,
EAR140y,5.3,
UAPGR,9.5,
CPH4S,13.15414286,
UM4PL,4.83,
NACtex,100000000.0,100000000.0
K2L4Aabcpp,95.19583333,
PPA,390.0,
LPLIPAL1A181pp,1016.0,
URACPAH,111.8694444,
AGPR,30.56378857,176.8525
FA120ACPHi,0.004,
IMPtex,100000000.0,100000000.0
FECRMR3,,
DHBSH,,
PLIPA1A120pp,1.1,
GLYCK,350.0,
ACOAD2f,4700.0,782.8622222
THDPS,1.1,
CRNDtex,100000000.0,100000000.0
DAGK181,10.40333333,
TYRL,85.46666667,
AGM3PH,185.2,
BUTtex,100000000.0,100000000.0
FRUptspp,806.33125,
ACGAMK,21.6875,
PGP120abcpp,95.19583333,
FEOXAMR3,22.0,
2AGPE160tipp,100000000.0,
2MAHMP,90.13177273,
14GLUCANabcpp,95.19583333,
FEOXAMUtpp,,
MTHFD,10.0,14.0
4HTHRA,1.44,1.44
RZ5PP,749.8136875,
NTD2,1.2,
FACOAE161,39.26175,
GAMtex,100000000.0,100000000.0
ADNt2pp_copy1,22.0,
OBTFL,4.065,
ZN2tpp,22.0,
IPPS,330.0,
MMCD,1.71,
PSSA180,1.0,
DAPAL,24.6,
TRPS2,3.695,
METOX2s,,
2AGPGAT181,0.016,
MTHFC,134.0,134.0
PAPA141pp,152.0,
LCARSyi,38.1,
3NTD4pp,5.93,
GAM6Pt6_2pp,22.0,
MALTptspp,3204.0,
SUCBZL,2.62,
CYSSADS,3.3,
LCARS,213.4339433,76.08846667
ACMANAptspp,3204.0,
SHCHD2,0.45,
NTRIR4pp,700.0,
DSBCGT,0.000564,
HG2abcpp,300.0,
DHAPT,2.8,
LPLIPAL1G180pp,1016.0,
MEPNtex,100000000.0,100000000.0
GLUt4pp,22.0,
2AGPE181tipp,100000000.0,
SLNTabcpp,95.19583333,
DOPAtex,100000000.0,100000000.0
FLVR,263.2083333,
PAPA181pp,152.0,
PGPP120,24.0,
ASO3tex,100000000.0,100000000.0
CRNCAR,368.4865,368.4865
NTPP1,2.55,
ACGK,38.25,
GUAPRT,112.0,
DMSOtex,100000000.0,100000000.0
GLCNtex,100000000.0,100000000.0
MG2uabcpp,95.19583333,
14GLUCANtexi,100000000.0,
METSOX2tex,100000000.0,100000000.0
HISTP,1132.5,
NADH10,8.9,
FACOAE140,6.2,
CTBTabcpp,0.097333333,
ALR2x,171.5562908,
AGPAT181,46.80901367,
XTSNtex,100000000.0,100000000.0
3HAD100,368.4865,
ASPO6,0.267,
MALTHXtexi,100000000.0,
S4FE4ST,22.0,
PPNCL2,0.88,
LPLIPAL2G140,1016.0,
NI2tpp,22.0,
MLTGY1pp,291.6204286,
AGM3PApp,25.0,
MACPD,0.05165,
G3PD5,33.3,
G3PAT161,166.8,
NADK,90.0,
HISTD,1.136166667,
FRULYSt2pp,22.0,
PIuabcpp,51.02916667,
2AGPE140tipp,100000000.0,
UAGAAT,9.166666667,9.166666667
CRNt8pp,22.0,
TDPDRE,39.0,
RHAT1,18.3185,
NTD1pp,171.9466667,
GUR1PPpp,,
CADVtpp,22.0,
ULA4Ntppi,22.0,
DHORD2,82.0,
GLCptspp,73.8,
USHD,90.13177273,
PA180abcpp,95.19583333,
2AGPGAT141,0.016,
PSD181,75.042,
ASR,0.3,
NADH18pp,767.5,
ALAALAtex,100000000.0,100000000.0
DHAtex,100000000.0,100000000.0
GLYC2Ptex,100000000.0,100000000.0
ALDD2y,53.5,
HMPK1,0.254175,
CYSTL,45.3,
GALtex,100000000.0,100000000.0
MNtex,100000000.0,100000000.0
3OAS60,0.97,
ICL,5.2,
AAMYL,132.0,
ACACT4r,1.4,14.8
ACP1_FMN,0.59,
CUt3,22.0,
AP5AH,250.0,
INOSTt4pp,22.0,
CRNCDH,368.4865,10.0
GAL1Ptex,100000000.0,100000000.0
RNTR4c2,34.15,
DHBS,5.665,
5DGLCNt2rpp,22.0,22.0
THRt2pp,22.0,
3OAS161,0.725,
3OAR161,0.59,
ACONMT,0.0524684,
SBTPD,76.08846667,213.4339433
R15BPK,23.6,
23PDE7pp,7.63,
FACOAE60,3.7615,
GALCTD,22.0,
AGMHE,9201.8125,
FACOAL100t2pp,0.029,
METNA,32.4876,109.4666667
NH4tex,100000000.0,100000000.0
INSK,14.80483333,
GLCRt2rpp,22.0,22.0
ADSL2r,7.0,2.9
ASPT,180.0,
GLXCL,18.9,
CBItonex,22.0,
CYNTAH,46000.0,
TUNGStex,100000000.0,100000000.0
LPLIPAL2E120,1016.0,
BTS5,13.9,
LPLIPAL2A181,1016.0,
PDX5POi,0.13,
LPLIPAL1E180pp,1016.0,
G2PP,4.6,
HPYRRx,29.73333333,
THRD,135.0,
ICDHyr,11.1,88.1
BALAt2pp,22.0,
VALabcpp,22.0,
GGGABAH,111.8694444,
FUCtex,100000000.0,100000000.0
PA161abcpp,95.19583333,
NTP10,226.6424,
MDDCP2pp,1.41,
CYSTA,27.0,
ALLabcpp,95.19583333,
FACOAL160t2pp,0.029,
G3PD6,33.3,
FECRMUtex,,
TMAOR2,1203.0,
R5PP,9.84,
SUCDi,110.0,
FADtex,22.0,22.0
ECOAH1,15.0,971.0
HSST,25.7,
23DAPPAtex,100000000.0,100000000.0
LPLIPAL2ATE140,1016.0,
PPNDH,48015.625,
NTD7pp,577.5,
ALAabcpp,22.0,
GLCP2,47.0,
XTSNt2rpp,22.0,22.0
PLIPA1G140pp,2.48,
MPTAT,0.0012,
PLIPA1G161pp,2.48,
4HOXPACDtex,100000000.0,100000000.0
ANPRT,4.4,
AGMT,0.032,
3HAD180,368.4865,
PLIPA2E180pp,2.48,
HADPCOADH3,76.08846667,213.4339433
EAR181x,5.3,
CLt3_2pp,22.0,
HMBS,0.25,
ACGAM1PPpp,,
PUNP2,44.93,2.77
ARBTNR3,,
FUSAtpp,22.0,
3PEPTabcpp,22.0,
BUTCT,290.0,
GUI1,196.0,196.0
3HCINNMH,117.0090215,
METabcpp,95.19583333,
GTHOXtex,100000000.0,100000000.0
GTPCI,0.039,
OXCOAHDH,39.0,
Kt2pp,22.0,
DDGALK,14.80483333,
SELGTHR2,,
3NTD2pp,16.82333333,
PLIPA2G181pp,2.48,
LIPOS,85.46666667,
MALt2_3pp,22.0,
NAMNPP,0.158,
PPBNGS,16.1,
RNDR1,8.115,
LPLIPAL2G161,1016.0,
ORNabcpp,95.19583333,
GUAtex,100000000.0,100000000.0
DCTPD,1.24,
AICART,13.5,5.0
GPDDA1pp,3.2,
ACBIPGT,0.058,
TYRtex,100000000.0,100000000.0
DNTPPA,11.6,
ACLS,38.94,
3GMPtex,100000000.0,100000000.0
AACPS9,21.94,
LPLIPAL1E181pp,1016.0,
SPODM,22300.0,
MANptspp,1068.078333,
ASPt2pp,22.0,
FTHFLi,,
G3PCabcpp,95.19583333,
GRXR,22.0,
ECOAH7,380.5,7.5465
DASYN140,8.92,
OGMEACPD,368.4865,
SPMDt3pp,22.0,
GLCDpp,3860.0,
GLYt4pp,22.0,
METtex,100000000.0,100000000.0
DMStex,100000000.0,100000000.0
DHAD1,11.5,
RNDR4,8.115,
AMALT2,1.3,
NMNDA,4.1,
KAS14,0.05165,
FACOAE141,39.26175,
ECA4COLIPAabctex,95.19583333,
ADNtex,100000000.0,100000000.0
GMHEPAT,370.0,
PSD141,75.042,
SELGTHR3,,
DDGLCNt2rpp,22.0,22.0
NADPHHR,73.56,
ARBTNabcpp,95.19583333,
26DAHtex,100000000.0,100000000.0
O16AT,32.4876,
FHL,112.5575,
GDPMNP,151.0,
BETALDHx,49.465,
AST,0.37325,
GTHRDtex,100000000.0,100000000.0
PG160abcpp,95.19583333,
TMAOtex,100000000.0,100000000.0
NADHHS,73.6,
ACPPAT140,1500.0,
ACACtex,100000000.0,100000000.0
INDOLEt2pp,22.0,
NTPP9,911.7,
APCS,0.14,
URIC,,
PSD161,75.042,
TRPtex,100000000.0,100000000.0
PPTHpp,33.0,
LPLIPAL2E140,1016.0,
S2FE2SR,0.425,
MN2tpp,22.0,
PUACGAMtr,18.3185,
GALURtex,100000000.0,100000000.0
MDH3,138.5,
AMPTASEPG,92.0,
FRUURtex,100000000.0,100000000.0
12DGR140tipp,,
3HAD161,368.4865,
DHNAOT4,16.08025,
DMPPS,3.7,
GLYCL,135.5,
FRUpts2pp,806.33125,
EAR181y,5.3,
HEPK2,14.80483333,
3HAD40,368.4865,
QMO2,69.50713596,
HCYSMT2,0.38,
2AGPG180tipp,100000000.0,
NMNt7pp,,
FDMO2,0.86,
FMNAT,370.0,
PLIPA1G120pp,2.48,
CURR,9.5,
CITtex,100000000.0,100000000.0
GART,16.78547619,
G3PAT140,166.8,
TDSR1,0.702207,
NADPHQR2,22.0,
EAR160x,5.3,
EAR100y,5.3,
PYAM5PO,14.86,
2DGLCptspp,1618.85,
GLUDC,42.055,
ASPO4,0.267,
FEOXAMR1,22.0,
ACPPAT120,1500.0,
PRATPP,90.13177273,
DHPPDA2,38.69725,
AMMQLT8,0.0524684,
GLYOX,780.0,
G1PP,117.0,
DDGLCNtex,100000000.0,100000000.0
RBFK,3.716666667,
NADH16pp,767.5,
4PCPpp,160.0,
DAGK161,10.40333333,
FE2t3pp,22.0,
NTPP3,14.3,
PGSA141,1.0,
ARBTNtpp,,
FMNtex,22.0,22.0
FECRMabcpp,95.19583333,
ARGt3pp,22.0,
NTD6,0.22,
CD2tex,100000000.0,100000000.0
FRUK,14.80483333,
AKGDH,1.2,
ASPTA,404.0,585.0
METAT,1.5,
EDTXS4,46.80901367,
2AGPA181tipp,100000000.0,
3OAS180,0.725,
HYPOE,,
HCO3E,5105.107143,46000.0
12DGR120tipp,,
PROGLYtex,100000000.0,100000000.0
TREH,199.0,
ISETACabcpp,95.19583333,
HISabcpp,95.19583333,
CTECOAI6,63.0,63.0
LEUtex,100000000.0,100000000.0
PDE1,0.000945,
PYDXK,2.15,
PACCOAL,40.0,
ISETACtex,100000000.0,100000000.0
AACTOOR,,
FECRMUtpp,,
OMMBLHX3,,
NO3R1bpp,94.286,
CDGR,0.06515,
2AGPEAT141,0.016,
ADK3,842.0,783.0
MAN6Ptex,100000000.0,100000000.0
ABTA,47.4,
GALBDtex,100000000.0,100000000.0
AGPAT120,46.80901367,
GLNS,50.0,
PMANM,134.9,82.93
DOXRBCNtpp,22.0,
DGSNt2pp,22.0,
FE3HOXUtpp,,
GGPTRCO,84.07596667,
TRPt2rpp,22.0,22.0
PFK,79.8,
DAPDC,4.45,
AGPAT161,46.80901367,
FECRMexs,,
PRMICI,14.3,14.3
HACD1,229.0,7.504
CYNTtex,100000000.0,100000000.0
FE3HOXabcpp,95.19583333,
TMAOR1,1203.0,
NTD3pp,0.23,
PYDXNtex,100000000.0,100000000.0
FUMt1pp,100000000.0,100000000.0
MAN6PI,1.38,141.0
PAPPT3,5.315,
PPAt4pp,22.0,
FMNt,22.0,
GLYCAt2rpp,22.0,22.0
LIPAHTex,46.80901367,
THRt4pp,22.0,
PGLYCP,94.0,
GLYCTO3,15.7,
FMNRx2,263.2083333,
MMETtex,100000000.0,100000000.0
ACNAMt2pp,22.0,
AGMt2pp,22.0,
DASYN180,8.92,
ACACt2pp,22.0,22.0
SERD_D,118.0,
12DGR180tipp,,
SBTptspp,3204.0,
PG140abcpp,95.19583333,
12DGR181tipp,,
I2FE2SR,0.5,
H2O2tex,100000000.0,100000000.0
AMALT1,0.157,
3OAS121,0.725,
FRULYSDG,105.2504048,0.254816667
MALTtexi,100000000.0,
FACOAL80t2pp,0.029,
RIBabcpp,95.19583333,
GDPMNH,151.0,
U23GAAT,23.0,
PSSA120,1.0,
NADN,,
CLIPAabctex,95.19583333,
XANt2pp,22.0,
POX,167.0,
EDA,149.93,
GALUi,23.876,
LPLIPAL2G120,1016.0,
NMNPtpp,22.0,
LPLIPAL1E141pp,1016.0,
UGLCURPpp,207.42,
FESR,22.0,
GLYCAtex,100000000.0,100000000.0
DTARTD,1149.5,
MLTGY4pp,291.6204286,
AMANK,14.80483333,
PRAIi,36.0,
PLIPA1E140pp,2.48,
GPDDA5,3.2,
ALCD2x,352.2,0.3
DMSOR1,79.9,
SUCFUMtpp,22.0,22.0
F6Ptex,100000000.0,100000000.0
ACACT7r,1.4,14.8
OCTNLL,0.133,
SDPDS,140.0,
GLYCLTt4pp,22.0,
ECA4OALpp,18.3185,
MOAT3C,2.866666667,
LYSDC,30.0,
SPMDabcpp,95.19583333,
PSURItex,100000000.0,100000000.0
CSNtex,100000000.0,100000000.0
CITL,298.35,
GARFT,13.5,13.5
PRPPS,0.66,0.66
ACNAMtex,100000000.0,100000000.0
CYTDt2pp_copy1,22.0,
FE3DCITtonex,22.0,
POAACR,93.55647875,
ACGS,200.0,
PROD3,20.0,
AACPS5,21.94,
HG2t3pp,22.0,
GMPtex,100000000.0,100000000.0
SUCCt2_2pp,22.0,
MLDCP3App,106.3,
HXAND,30.0,
EAR120x,5.3,
G1Ptex,100000000.0,100000000.0
NI2t3pp,22.0,
A5PISO,10.5,16.8
R5Ptex,100000000.0,100000000.0
TSULabcpp,95.19583333,
LACZ,6300.0,
FDH5pp,36.1,
INSTtex,100000000.0,100000000.0
NO3t7pp,22.0,
NTPP5,4.59,
PPM,173.0,173.0
NMNAT,0.904583333,
FECRMR1,,
23DAPPAt2pp,,
GUAD,2.7,
MI1PP,2.445,
MALDDH,76.08846667,
PAPA120,152.0,
23PDE2pp,7.63,
4HTHRK,14.2,
DTMPK,3.0,0.86
NTD3,0.23,
PLIPA2G120pp,2.48,
X5PL3E,9201.8125,
ALDD19xr,40.15666667,26.7
ALAALAD,22.85,
FADRx2,247.0357143,
Zn2tex,100000000.0,100000000.0
ALDD4,,
PLIPA1E180pp,1.1,
METSOX1tex,100000000.0,100000000.0
ARGtex,100000000.0,100000000.0
MLTP2,47.0,0.001
O16GLCT1,22.0,
CBIAT,0.03,0.11
PE140abcpp,95.19583333,
PGCD,13.5,
THD2pp,40.88335,
RU5PP,0.012,
RBFSb,0.267,
LPLIPAL2A160,1016.0,
G3PD7,33.3,
FDMO,0.86,
TARTRt7pp,22.0,22.0
LPLIPAL2ATG181,1016.0,
IDOND2,7.3275,
DHCINDO,29.0,
MELIBt3ipp,22.0,
PGMT,126.8,48.895
TRE6PH,72.26175,
MG2tex,100000000.0,100000000.0
SUCMALtpp,22.0,22.0
LIPACabcpp,95.19583333,
LPLIPAL2ATE181,1016.0,
Htex,100000000.0,100000000.0
DOXRBCNtex,100000000.0,100000000.0
ADEt2rpp,22.0,22.0
PHEMEtiex,,
MINOHPtexi,,
TCYNTtex,100000000.0,100000000.0
SHCHF,0.034,
DC6PDA,29.5,
AACPS8,21.94,
PE181abcpp,95.19583333,
ACSERtex,100000000.0,100000000.0
3OAS100,3.1,
PSD140,75.042,
G6PDH2r,174.0,288.0
PPK,23.6,
ACMUMtex,100000000.0,
3HPPtex,100000000.0,100000000.0
DMQMT,0.0524684,
PMEACPE,18.5,
MECDPDH5,3.7,
VALTA,19.0,13.67
SELGTHR,,
SULFACtex,100000000.0,100000000.0
FEROpp,3.91,
PLIPA1A180pp,1.1,
3OAR181,0.59,
FUCtpp,22.0,22.0
G6Ptex,100000000.0,100000000.0
UAGCVT,4.633333333,
MALTTTRtexi,100000000.0,
PLIPA2G141pp,2.48,
FEOXAMUtex,,
SSALx,45.8,
LIPAabcpp,95.19583333,
PYDAMtex,100000000.0,100000000.0
OMPDC,42.0,
2AGPG160tipp,100000000.0,
LIPATPT,0.176,
2HPTCOAT,22.0,
PGPP160pp,24.0,
GLCtex_copy2,100000000.0,100000000.0
LPLIPAL2E161,1016.0,
AMAOTr,0.283,0.283
GMPS2,0.43,
NTRIR2x,845.0,
TREHpp,199.0,
TUNGSabcpp,95.19583333,
DHPS2,0.109,
ANS,383.0,
G3PAT181,166.8,
LPLIPAL1E140pp,1016.0,
APH141,1.55e-06,
EAR40y,5.3,
NOtex,100000000.0,100000000.0
AACPS2,21.94,
TMAOR1pp,145.25,
AACPS7,21.94,
AP4AS,3.4,
XYLI2,4.54,1.67
FRUtex,100000000.0,100000000.0
PLIPA1G160pp,2.48,
ADOCBIK,0.191,
NTD12,0.24,
TYMtex,100000000.0,100000000.0
I2FE2SS,0.5,
2AGPEAT181,0.016,
DAGK120,10.40333333,
ADOCBLabcpp,0.845,
PUNP6,44.93,112.5
DM_amob_c,,
FA140ACPHi,0.004,
GALTtex,100000000.0,100000000.0
MDDEP3pp,1.41,
GALKr,63.62,0.195
