,forward,reverse
MDH2,138.5,
O16AP1pp,18.3185,
D_LACtex,100000000.0,100000000.0
O2tex,100000000.0,100000000.0
CLPNS161pp,1.0,0.025375
URDGLYCD,59.725,
PUNP7,44.93,110.0
2AGPA120tipp,100000000.0,
ACPPAT180,1500.0,
ALATA_L,17.1,131.85
INSt3pp,22.0,
FA100ACPHi,0.004,
PLIPA2G180pp,2.48,
CPMPS,0.0007,
MOAT,2.866666667,
PDXPP,1.25,
CRNtex,100000000.0,100000000.0
DM_5drib_c,,
AI2tpp,22.0,
OAADC,11.0,
SUCCt1pp,100000000.0,100000000.0
FRULYSK,14.80483333,
G3PSabcpp,95.19583333,
LIPAHT2ex,46.80901367,
LPADSS,18.3185,
PRAGSr,7.0,2.3
PRAMPC,3.345,
HKNTDH,2.0,
FE2t2pp,22.0,
LYXt2pp,22.0,
DHPTPE,933.676,933.676
4HBZt3pp,22.0,
CPPPGO,0.003,
GALT1,4.357545811,
12DGR161tipp,,
SADH,3.2,
PGPP140,24.0,
PHEtex,100000000.0,100000000.0
N2Otex,100000000.0,100000000.0
GLYCLTDx,27.275,
UGLYCH,0.018,
FACOAE80,159.0,
GTHOr,733.3,733.3
TRE6PP,14.45,
DHDPS,36.2,
BIOMASS_Ec_iML1515_WT_75p37M,,
CYANtex,100000000.0,100000000.0
CMPN,,
DCMPtex,100000000.0,100000000.0
DHPStr,22.0,
ARBTNR1,,
EDTXS2,46.80901367,
GTPtex,100000000.0,100000000.0
BIOMASS_Ec_iML1515_core_75p37M,,
CU1abcpp,95.19583333,
NTP3,1.1515,
ALLTNtex,100000000.0,100000000.0
AGM4PA,25.0,
ASO3t8pp,95.19583333,
FLVRx,36.35,
CPGNR3,,
CITt3pp,,
LEUabcpp,22.0,
O16AUNDtpp,22.0,
OCDCAtexi,100000000.0,
APH120,1.55e-06,
ACOAD5f,9.17,9.17
DHCURR,9.5,
IMPD,13.0,
LALADGLUtex,100000000.0,100000000.0
DTMPtex,100000000.0,100000000.0
AB6PGH,2.0,
UDPGLCURtex,100000000.0,100000000.0
MLTP3,47.0,0.001
GLYBt3pp,22.0,
GALCTNLt2pp,22.0,
FDMO6,0.86,
ADCS,0.67,
S2FE2SS,0.425,
NTD2pp,1.2,
SULFACabcpp,95.19583333,
2AGPEAT140,0.016,
DASYN181,8.92,
CDAPPA140,90.13177273,
UAGDP,68.41428571,
SELR,227.5,
OCBT,88.1,8.0
GLYCLTDy,24.55,
UM4PCP,160.0,
G3PAT160,166.8,
ECOAH8,7.5465,7.5465
UDPGALM,8.72,
CUtex,100000000.0,100000000.0
PGPP120pp,24.0,
CBPS,3.653333333,
CLPNS180pp,1.0,0.025375
FACOAL60t2pp,0.029,
RMNtpp,22.0,
CYTDK1,0.0041,
OMPHHXy,6.470507937,
HPYRI,1265.461667,1265.461667
LPLIPAL2A180,1016.0,
PPK2,23.6,
PMDPHT,1.465,
PSSA161,1.0,
3HPADHi,0.0017,
CYTBDpp,320.5,
DHPTDNRN,152.75,
PACALDtex,100000000.0,100000000.0
DADNtex,100000000.0,100000000.0
XTSNH,6.3,
DXPS,2.6,
FEENTERR2,,
GAPP,0.012,
TTDCEAtexi,100000000.0,
ACGAMT,1.2,
URATEtex,22.0,22.0
ARBabcpp,95.19583333,
URAt2pp,22.0,
FUMtex,100000000.0,100000000.0
TMPPP,16.08025,
NADH17pp,767.5,
PYK,135.5,
DSBDR,1.40385,
PDX5PS,1.4,
NTPP7,90.13177273,
FDMO4,0.86,
HYD2pp,1500.0,
