Model,FVA_Percent,Analysis_Type,Gamma_fMSA,ATPM,Uptake_Bound,Reaction,Original_Value,Min_Value,Max_Value,FVA_Difference
Homog,0,nonmembrane,0.3,6.89,1000,rx_TAGURr_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_PGLYCP,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_GLXCL,0,0,25.1710432687672,25.1710432687672
Homog,0,nonmembrane,0.3,6.89,1000,rx_TARTD,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_GLCRAL,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_KAS14,0,0,7.52516524788786,7.52516524788786
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_tmao_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_NNDPR,0.00227903180981896,0,0.00227767149157474,0.00227767149157474
Homog,0,nonmembrane,0.3,6.89,1000,rx_HACD4_f,0.313186371330767,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_HACD7_f,0.264279688710749,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_SDPDS,0.361030039113647,0,19.6626839991044,19.6626839991044
Homog,0,nonmembrane,0.3,6.89,1000,rx_DKGLCNR2y,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_2DGULRy,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_RZ5PP,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD9,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD10,0,0,64.8870849500981,64.8870849500981
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADPT,0,0,67.0526001656884,67.0526001656884
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADK1_f,2.54274649064378,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_OCTDPS,0.000669009337766165,0,0.000668223921449892,0.000668223921449892
