,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_Mw_c,Rxn_Mw_t,Rxn_Mw_p,Rxn_kcat,Rxn_genes_rules
704,H2tex_f,Hydrogen transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
705,H2Otex_f,H2O transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",0.0,0.0,0.0,100000000.0,b3875 or s0001 or b1319 or b0957 or b2215 or b0241 or b1377 or b0929
706,FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),Cytoplasmic,Cell Envelope Biosynthesis,62332.0,0.0,0.0,0.029,b1701 or b1805
707,FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),Cytoplasmic,Cell Envelope Biosynthesis,62332.0,0.0,0.0,0.029,b1701 or b1805
708,SPODMpp,Superoxide dismutase,Cytoplasmic,Unassigned,17681.0,0.0,0.0,22300.0,b1646
709,NO3R1bpp,Nitrate reductase (Ubiquinol-8),Inner Membrane,Nitrogen Metabolism,122301.0,122301.0,54975.0,94.286,b2205 and b2202 and b2204 and (b2206 and b2203)
710,O2tpp_f,O2 transport via diffusion (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,0.0,0.0,0.0,100000000.0,s0001
711,PHYTSpp,Phytase (periplasm),Cytoplasmic,Alternate Carbon Metabolism,47057.0,0.0,0.0,6931.0,b0980
712,PPTHpp,Phosphonate hydrogenase (periplasm),Cytoplasmic,Unassigned,49439.0,0.0,0.0,33.0,b0383
713,PYRt2rpp_f,Pyruvate reversible transport via proton symport (periplasm),Inner Membrane,"Transport, Inner Membrane",0.0,0.0,0.0,100000000.0,
714,NO3R2pp,Nitrate reductase (Menaquinol-8) (periplasm),Inner Membrane,Oxidative Phosphorylation,250501.0,250501.0,25497.0,68.0,(b1467 and b1468 and b1466 and b1465) or (b1224 and b1227 and b1226 and b1225)
715,NTP3pp,Nucleoside-triphosphatase (GTP) (periplasm),Cytoplasmic,Nucleotide Salvage Pathway,47057.0,0.0,0.0,250.5,b0980
716,NO3R2bpp,Nitrate reductase (Menaquinol-8) (periplasm),Inner Membrane,Nitrogen Metabolism,65502.0,65502.0,23101.0,94.286,(b2206 and b2203) and b2202
717,THD2pp,NAD(P) transhydrogenase (periplasm),Inner Membrane,Oxidative Phosphorylation,103346.0,103346.0,103346.0,40.88335,b1602 and b1603
718,TMAOR1pp,Trimethylamine N-oxide reductase (menaquinol 8) (periplasm),Inner Membrane,Oxidative Phosphorylation,129250.0,129250.0,40286.0,145.25,(b0997 and b0996) or (b1872 and b1873)
719,TMAOR2pp,Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm),Inner Membrane,Oxidative Phosphorylation,129250.0,129250.0,40286.0,145.25,(b0997 and b0996) or (b1872 and b1873)
720,XANtpp_f,Xanthine reversible transport (periplasm),Inner Membrane,"Transport, Inner Membrane",0.0,0.0,0.0,100000000.0,
721,DAPtex_f,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
722,12PPDStex_f,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
723,DDGLCNtex_f,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
724,26DAHtex_f,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
725,HCINNMtex_f,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
726,HPPPNtex_f,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0929 or b1377 or b2215 or b0241
727,ACtex_f,Acetate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
728,ACALDtex_f,Acetaldehyde transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
729,ACMANAtex_f,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b2215 or b0241 or b0929 or b1377
730,ACMUMtex,N-acetylmuramate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
731,ACACT7r_f,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),Cytoplasmic,Membrane Lipid Metabolism,26242.0,0.0,0.0,1.4,b2342 or b3845
732,PSP_L,Phosphoserine phosphatase (L-serine),Cytoplasmic,Glycine and Serine Metabolism,35043.0,0.0,0.0,0.15,b4388
733,ACACT2r_f,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),Cytoplasmic,Membrane Lipid Metabolism,26242.0,0.0,0.0,1.4,b2342 or b3845
734,ACACT3r_f,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),Cytoplasmic,Membrane Lipid Metabolism,26242.0,0.0,0.0,1.4,b2342 or b3845
735,ACACT4r_f,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),Cytoplasmic,Membrane Lipid Metabolism,26242.0,0.0,0.0,1.4,b2342 or b3845
736,SUCCt2_2pp,Succinate transport via proton symport (2 H) (periplasm),Inner Membrane,"Transport, Inner Membrane",20071.0,20071.0,20071.0,22.0,b3528 or b0010
737,SUCFUMtpp_f,Succinate:fumarate antiporter (periplasm),Inner Membrane,"Transport, Inner Membrane",45751.0,45751.0,45751.0,22.0,b4123 or b0621 or b4138
738,SUCptspp,Sucrose transport via PEP:Pyr  (periplasm),Inner Membrane,"Transport, Inner Membrane",140734.0,140734.0,140734.0,3204.0,b2417 and b2415 and b2416 and b2429
739,SULabcpp,Sulfate transport via ABC system (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,91405.0,91405.0,91405.0,95.19583333,(b2423 and b2424 and b2422 and b2425) or (b0764 and b0765 and b0763) or (b2422 and b2423 and b2424 and b3917)
740,TSULabcpp,Thiosulfate transport via ABC system (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,140548.0,140548.0,140548.0,95.19583333,(b2423 and b2422 and b2424 and b3917) or (b2422 and b2425 and b2424 and b2423)
741,TARTRt7pp_f,Tartrate/succinate antiporter (periplasm),Inner Membrane,"Transport, Inner Membrane",52906.0,52906.0,52906.0,22.0,b3063
742,AHGDx_f,(S)-alpha-hydroxyglutarate dehydrogenase,Cytoplasmic,Glycine and Serine Metabolism,44176.0,0.0,0.0,110.6,b2913
743,TAURabcpp,Taurine transport via ABC system (periplasm),Inner Membrane,"Transport, Inner Membrane",92375.0,92375.0,92375.0,95.19583333,b0365 and b0367 and b0366
744,THMDt2pp_copy1,Thymidine transport in via proton symport (periplasm),Inner Membrane,"Transport, Inner Membrane",43476.0,43476.0,43476.0,22.0,b2964 or b2393
745,EX_ca2_e_f,Calcium exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
746,EX_so3_e_f,Sulfite exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
747,Kt2pp,Potassium transport in via proton symport (periplasm),Inner Membrane,Inorganic Ion Transport and Metabolism,46063.0,46063.0,46063.0,22.0,(b3849 and b1291 and b3290) or b1250 or (b1291 and b1363 and b3290) or b3747
748,AKGt2rpp_f,2-oxoglutarate reversible transport via symport (periplasm),Inner Membrane,"Transport, Inner Membrane",47052.0,47052.0,47052.0,22.0,b2587
749,XYLt2pp,D-xylose transport in via proton symport (periplasm),Inner Membrane,"Transport, Inner Membrane",53608.0,53608.0,53608.0,22.0,b4031
750,EX_ascb__L_e_f,L-Ascorbate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
751,EX_ala_B_e_f,Beta-Alanine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
752,EX_agm_e_f,Agmatine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
753,EX_minohp_e_f,Myo-Inositol hexakisphosphate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
754,EX_ppt_e_f,Phosphonate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
755,EX_hxa_e_f,Hexanoate (n-C6:0) exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
756,EX_lyx__L_e_f,L-Lyxose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
757,EX_acmum_e_f,N-Acetylmuramate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
758,EX_dca_e_f,Decanoate (n-C10:0) exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
759,EX_all__D_e_f,D-Allose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
760,EX_octa_e_f,Octanoate (n-C8:0) exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
761,EX_xylu__L_e_f,L-Xylulose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
