Gamma,Iteration,Change_Factor,Uptake_Bound,Growth,ATPM,Random_Seed,phiCm,phiCc,phiR,phiEc,phiEr,phiEm,phiP_m,phiP,phiM,phiCm_m,phiEr_m,phiEm_m,phiPmax,phiMmax
1,1,1,19.2627599243856,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,19.7090947279983,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,20.1659315269901,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,20.6332703213611,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,21.1111111111111,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,21.5994538962403,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,22.0982986767486,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,22.607645452636,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,23.1274942239025,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,23.6578449905482,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,24.198697752573,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,24.7500525099769,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,25.3119092627599,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,25.8842680109221,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,26.4671287544633,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,27.0604914933837,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,27.6643562276833,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,28.2787229573619,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,28.9035916824197,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,29.5389624028565,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,30.1848351186725,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,30.8412098298677,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,31.5080865364419,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,32.1854652383953,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
1,1,1,32.8733459357278,1.00001411546102,6.86,1,0.00542279289666461,3.92480913213866e-07,0.169002385512913,0.198181888661382,0.0522513535424618,0.059141186905665,0.116815333344791,0.483999607519087,0.116815333344791,0.00542279289666461,0.0522513535424618,0.059141186905665,0.484,0.484
