export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiCm,phiR,phiCc,unassigned
0.05,0.3,10.17361111111111,0.7854832659339852,0.23070110504767752,0.010290253143214833,0.10175294927745253,0.00850901775954175,0.1327466719428435,0.0,0.4840000000000169
0.05,0.3,10.390625,0.7938098441600474,0.2286526615874142,0.010571726633783207,0.10193122120535442,0.008690524111067811,0.13415386366304802,0.0,0.48399999999990956
0.05,0.3,10.694444444444445,0.8031743194672692,0.22625655777432546,0.010955569341621672,0.10210677710326732,0.008944633003204297,0.1357364599899685,0.0,0.4840000000000064
0.05,0.3,11.085069444444445,0.8114551511610658,0.22414054711283943,0.01144399411234212,0.10200819092577038,0.009271344435951206,0.13713592054622012,0.0,0.4839999999999896
0.05,0.3,11.5625,0.821576167675695,0.22155431185992613,0.012040957721017334,0.10188769670882995,0.00967065840930854,0.13884637233719246,0.0,0.48399999999999804
0.05,0.3,12.12673611111111,0.832601357715282,0.22007490210476788,0.012821126418266724,0.10025176420908646,0.0101425749232763,0.14070962945388266,0.0,0.4839999999999895
0.05,0.3,12.777777777777779,0.8446496738300445,0.219496953409435,0.013779248426591152,0.09729090663709596,0.010687093977854485,0.14274579487727754,0.0,0.48399999999999266
0.05,0.3,13.515625,0.858304432093442,0.21884194488805886,0.014865120036025763,0.09393526805550799,0.011304215573043092,0.1450534490237917,0.0,0.4839999999999993
0.05,0.3,14.340277777777777,0.8718435068314693,0.21380478047470186,0.01584690973198617,0.09501281503932539,0.011993939708842124,0.14734155265451832,0.0,0.48400000000000193
0.05,0.3,15.25173611111111,0.8859513237990141,0.20808507487379735,0.01691097550005009,0.09638915689219216,0.012889016650885387,0.14972577372203338,0.0,0.484000000000006
0.05,0.3,16.25,0.8995456856349571,0.20213122421588237,0.018060798607737835,0.09757439503626941,0.014210358909621763,0.15202322087230777,0.0,0.4839999999999975
0.05,0.3,17.335069444444443,0.9112645324835171,0.19990371186947434,0.01912658815884574,0.09569493462734156,0.015271057030263555,0.1540037059897144,0.0,0.4839999999999988
0.05,0.3,18.506944444444443,0.9230760943924778,0.2005004751486528,0.020127822336525325,0.09127519950451789,0.01609664077076375,0.15599985995232876,0.0,0.4839999999999962
0.05,0.3,19.765625,0.9357625868132137,0.20114144311518065,0.021203222008847767,0.08652807659481888,0.01698337886241213,0.15814387717143313,0.0,0.48399999999999754
0.05,0.3,21.11111111111111,0.9493240097457225,0.20182661576905891,0.02235278717581339,0.08145356589824576,0.01793127130520871,0.1604357576470271,0.0,0.4840000000000033
0.05,0.3,22.54340277777778,0.9637603631900108,0.20255599311027409,0.023576517837421644,0.07605166741479319,0.018940318099153357,0.16287550137911183,0.0,0.4839999999999962
0.05,0.3,24.0625,0.9786368432688777,0.20314063667251336,0.024884554723893403,0.07045975570718059,0.020125424257209666,0.16538962651244035,0.0,0.48399999999999654
0.05,0.3,25.66840277777778,0.9873542964992019,0.20460812235109888,0.026213053980465518,0.06484737453060765,0.02146857125850252,0.16686287610836514,0.0,0.48400000000000104
0.05,0.3,27.361111111111107,0.9937802319574306,0.2083244373826628,0.027596765331660868,0.05724561612949489,0.022884320800405793,0.1679488592008058,0.0,0.48399999999999604
0.05,0.3,29.140625,0.9999554279967892,0.21259014229455192,0.029058394614079823,0.04898632235935311,0.0243726728829195,0.16899246733145737,0.0,0.48399999999999643
0.05,0.3,31.006944444444443,0.9999658369995726,0.21274870007582244,0.029100320465776822,0.048754702683605315,0.024402049814378206,0.16899422645292778,0.0,0.4840000000000057
0.05,0.3,32.96006944444444,0.999965836999574,0.2127487000758215,0.02910032046577676,0.04875470268360488,0.0244020498143782,0.16899422645292803,0.0,0.4840000000000044
0.05,0.3,35.0,0.999965836999577,0.21274870007581798,0.02910032046575524,0.048754702683605475,0.024402049814378157,0.16899422645292853,0.0,0.48399999999998067
0.05,0.25,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.25,0.8857142857142859,0.05401264101499034,0.08689437636051865,0.0006078324912931518,0.01520928019057995,0.0007407948372227085,0.009128136331533369,0.0,0.11258042069424842
0.05,0.25,1.5714285714285716,0.11638596110601018,0.15537532587880007,0.0013097520758331793,0.02238449032801814,0.0013143134208789989,0.019669227426915722,0.0,0.20005310982713584
0.05,0.25,2.2571428571428576,0.17848094739296133,0.21040317180201196,0.0020085394245417353,0.029666774500082288,0.0018878320045352893,0.030163280109410467,0.0,0.2741295987527344
0.05,0.25,2.9428571428571435,0.24056502595951004,0.2646881216723955,0.002707204022969199,0.03695325483378806,0.00246135058819158,0.0406554893871572,0.0,0.3474654216303735
0.05,0.25,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422912,0.04423973516748968,0.00303486917184787,0.05114769866490698,0.0,0.4208024646487076
0.05,0.25,4.314285714285715,0.3646148279272221,0.36309675715158546,0.004103201307263016,0.05157174631668221,0.0036083877555041603,0.06161990591970054,0.0,0.48400000000022225
0.05,0.25,5.000000000000001,0.425845785469122,0.34387146957775416,0.004792265288722912,0.05918641930538525,0.004181906339160451,0.07196793774428162,0.0,0.48400000000025256
0.05,0.25,5.685714285714287,0.48537576155833906,0.3247887345404195,0.005462187236492462,0.06696514759471278,0.004755424922816742,0.0820285037033593,0.0,0.48399999999997945
0.05,0.25,6.371428571428573,0.5441555479730884,0.3057552246243955,0.006123666907598132,0.07482987506630119,0.005328943506473032,0.09196228760745195,0.0,0.4839999999999362
0.05,0.25,7.057142857142859,0.6029100026330139,0.286722128220771,0.006784861507221702,0.0826987551665143,0.005902462090129322,0.10189179044497935,0.0,0.4840000000000152
0.05,0.25,7.742857142857145,0.659754820982248,0.26760815067895677,0.007424565970936588,0.09099273511493078,0.0064759806737856125,0.11149856474599992,0.0,0.4839999999999808
0.05,0.25,8.428571428571429,0.7156098593126006,0.24843791606419716,0.008053131922566155,0.09952138350017535,0.007049499257441902,0.12093806622382951,0.0,0.48399999999992827
0.05,0.25,9.114285714285716,0.7378487308853632,0.24453838578306736,0.007621465411619212,0.09952069253834661,0.007623017841098193,0.12469643551962639,0.0,0.48400000000003585
0.05,0.25,9.8,0.7560476391868651,0.24161655126793818,0.00855098890804732,0.09786386965167353,0.008196536424754482,0.1277720510225802,0.0,0.48399999999994003
0.05,0.25,10.0,0.7613556541081387,0.24076434953447493,0.008822099927839144,0.09738062964306027,0.008363812678320901,0.12866910554427544,0.0,0.4840000000000289
0.05,0.25,10.043402777777779,0.7625075670684813,0.24057940992208512,0.008880934784564629,0.09727575984952459,0.008400113948626112,0.12886377883457337,0.0,0.48399999999995463
0.05,0.25,10.17361111111111,0.7659633059495227,0.24002459108515511,0.009057439354741544,0.09696115046891694,0.00850901775954175,0.12944779870546935,0.0,0.48399999999997284
0.05,0.25,10.390625,0.7709715590857663,0.23922051603054306,0.00923593734369171,0.09655882648622721,0.008690524111067811,0.1302941934854945,0.0,0.4840000000000239
0.05,0.25,10.694444444444445,0.7779005932533813,0.23810805957200465,0.009483754522195367,0.09599835021450384,0.008944633003204297,0.13146520025982145,0.0,0.4840000000002227
0.05,0.25,11.085069444444445,0.7864109833752013,0.23674171646541536,0.009957447008419268,0.09512603353718024,0.009271344435951206,0.13290345619040903,0.0,0.4839999999997852
