export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiT,phiCm,phiR,phiCc,unassigned
0.05,0.35,4.314285714285715,0.3646148279272221,0.3630967571515854,0.004103201307263,0.0515717463166822,0.0030809952959850273,0.0036083877555041,0.058538910623715475,1.5492647720272146e-09,0.4840000000002222
0.05,0.35,5.000000000000001,0.425845785469122,0.3438714695777541,0.0047922652887229,0.0591864193053852,0.003598396887214081,0.0041819063391604,0.06836954085706752,1.7446957767397464e-09,0.4840000000002525
0.05,0.35,5.685714285714287,0.485375761558339,0.3247887345404195,0.0054621872364924,0.0669651475947127,0.004101425185167965,0.0047554249228167,0.07792707851819133,2.002199406270222e-09,0.4839999999999794
0.05,0.35,6.371428571428573,0.5441555479730869,0.3057552246242576,0.006123666907598,0.0748298750663024,0.0045981143803725845,0.005328943506473,0.08736417322707903,2.2879173555701016e-09,0.4839999999997992
0.05,0.35,7.057142857142859,0.6029100026330142,0.2867221282207395,0.0067848615072217,0.0826987551665146,0.005094589522248971,0.0059024620901293,0.09679720092273042,2.5704155470762657e-09,0.4839999999999838
0.05,0.35,7.742857142857145,0.6597548209822489,0.2676081506789279,0.0074245659709365,0.0909927351149314,0.005574928237300004,0.0064759806737856,0.1059236365087,2.8154186204609744e-09,0.4839999999999526
0.05,0.35,8.428571428571429,0.715609859312603,0.2484379160642879,0.0080531319225662,0.0995213835001729,0.006046903311191496,0.0070494992574419,0.1148911629126384,3.031701167888201e-09,0.4840000000000172
0.05,0.35,9.114285714285716,0.7448381448834748,0.2407003184269317,0.0089162764886072,0.1008827377820767,0.006293882324265363,0.0076230178410981,0.11958376416104183,2.9759790742822645e-09,0.4839999999999675
0.05,0.35,9.8,0.7711482288599828,0.2342277053085721,0.009805668381901,0.1014460363263769,0.006516202533866856,0.0081965364247544,0.12380784814347025,2.881058502879341e-09,0.4839999999999529
0.05,0.35,10.0,0.7788220033531287,0.232339859815814,0.0100650743507961,0.101610331735131,0.006581045928333938,0.0083638126783209,0.12503987263834476,2.8532592954988445e-09,0.4840000000000629
0.05,0.35,10.04340277777778,0.7804873189983412,0.2319301711237276,0.0101213690488755,0.1016459861207115,0.006595117845535983,0.0084001139486261,0.12530723906518362,2.8473396973538456e-09,0.4839999999999743
0.05,0.35,10.17361111111111,0.7854832659339842,0.2307011050476419,0.0102902531432013,0.1017529492774525,0.006637333597142168,0.0085090177595417,0.12610933834570112,2.829319223351945e-09,0.4839999999999678
0.05,0.35,10.390625,0.7938098441600536,0.2286526615874176,0.0105717266337063,0.1019312212053545,0.006707693183152454,0.0086905241110678,0.12744617047989654,2.7994048190649323e-09,0.4839999999998375
0.05,0.35,10.694444444444445,0.803174319467273,0.2262565577743411,0.0109555693416216,0.1021067771032678,0.006786822999498458,0.0089446330032042,0.12894963699047066,2.7875961539081118e-09,0.4840000000000226
0.05,0.35,11.085069444444445,0.8114551511610634,0.2241405471128677,0.0114439941123421,0.102008190925771,0.006856796027310987,0.0092713444359512,0.13027912451890872,2.866848314297954e-09,0.4840000000000178
0.05,0.35,11.5625,0.8215761676757074,0.2215543118599405,0.0120409577210174,0.1018876967088308,0.006942318616859729,0.0096706584093085,0.13190405372033476,2.963708334302595e-09,0.4840000000000158
0.05,0.35,12.12673611111111,0.8326013577152842,0.2200749021047649,0.0128211264182666,0.1002517642090854,0.007035481472694153,0.0101425749232763,0.13367414798118885,2.8907237714648204e-09,0.4839999999999857
0.05,0.35,12.77777777777778,0.8446496738300404,0.2194969534094369,0.0137792484265911,0.0972909066370964,0.007137289743863843,0.0106870939778544,0.13560850513341294,2.671744436799628e-09,0.4839999999999946
0.05,0.35,13.515625,0.858304432093442,0.2188419448880568,0.0148651200360257,0.093935268055507,0.007252672451189585,0.011304215573043,0.13780077657260212,2.4235757845048056e-09,0.4839999999999962
0.05,0.35,14.340277777777777,0.8718435068314689,0.2138047804747073,0.0158469097319862,0.0950128150393261,0.007367077632725913,0.0119939397088421,0.13997447502179228,2.390620035264135e-09,0.4840000000000079
0.05,0.35,15.25173611111111,0.885951323799014,0.2080850748737937,0.01691097550005,0.0963891568921916,0.007486288686101669,0.0128890166508854,0.14223948503593165,2.3610459698453212e-09,0.4840000000000019
0.05,0.35,16.25,0.8995456856349565,0.2021312242158797,0.0180607986077378,0.0975743950362689,0.007601161043615383,0.0142103589096218,0.14442205982869222,2.358184203465896e-09,0.4839999999999948
0.05,0.35,17.335069444444443,0.9112645324835106,0.1999037118694702,0.0191265881588456,0.0956949346273394,0.0077001852994856654,0.0152710570302635,0.14630352069022765,2.3243679203588385e-09,0.483999999999991
0.05,0.35,18.506944444444443,0.9230760943924716,0.2005004751486525,0.0201278223365253,0.091275199504517,0.007799992997616386,0.0160966407707637,0.14819986695471132,2.2872137517282454e-09,0.4839999999999941
0.05,0.35,19.765625,0.9357625868132142,0.201141443115183,0.0212032220088477,0.0865280765948196,0.007907193858571662,0.0169833788624121,0.15023668331286152,2.2473044536397424e-09,0.4840000000000009
0.05,0.35,21.11111111111111,0.9493240097457322,0.2018266157690675,0.0223527871758135,0.0814535658982499,0.008021787882351437,0.0179312713052088,0.15241396976467725,2.204631699420645e-09,0.4840000000000182
0.05,0.35,22.54340277777778,0.9637603631900132,0.2025559931102773,0.0235765178374217,0.0760516674147948,0.008143775068955613,0.0189403180991534,0.15473172631015658,2.159240564125753e-09,0.4840000000000016
0.05,0.35,24.0625,0.9786368432688752,0.2031406366725187,0.0248845547238935,0.070459755707182,0.008269481325621997,0.0201254242572096,0.1571201451868179,2.1267563266036404e-09,0.4840000000000033
0.05,0.35,25.66840277777778,0.9873542964991994,0.2046081223510942,0.0262130539804652,0.064847374530606,0.008343143805418235,0.0214685712585025,0.15851973230294647,1.7709673727495101e-09,0.4839999999999944
0.05,0.35,27.361111111111107,0.993780231957442,0.2083244373826664,0.027596765331661,0.0572456161294981,0.008397442960040385,0.0228843208004057,0.15955141624076732,1.1549611267369642e-09,0.4840000000000051
0.05,0.35,29.140625,0.9999554279967938,0.2125901422945546,0.02905839461408,0.0489863223593551,0.008449623366572909,0.0243726728829195,0.1605428439648852,5.176327144695847e-10,0.4840000000000024
0.05,0.35,31.006944444444443,0.9999658369995762,0.2127487000758254,0.0291003204657925,0.0487547026836054,0.00844971132264642,0.0244020498143782,0.16054451513028198,5.074700659690734e-10,0.4840000000000252
0.05,0.35,32.96006944444444,0.9999658369995724,0.2127487000758179,0.0291003204657767,0.0487547026836043,0.008449711322646387,0.0244020498143781,0.1605445151302813,5.074952680317324e-10,0.4840000000000003
0.05,0.35,35.0,0.9999658369995832,0.2127487000758202,0.0291003204657767,0.0487547026836057,0.00844971132264648,0.0244020498143782,0.160544515130283,5.07489661405458e-10,0.4840000000000061
0.05,0.3,0.2,,0.0,0.0,0.0,,0.0,,0.484,0.0
0.05,0.3,0.8857142857142859,0.0540126410149903,0.0868943763605186,0.0006078324912931,0.0152092801905799,0.0004564068165766681,0.0007407948372227,0.00867172951495663,0.37141957978885237,0.1125804206942484
0.05,0.3,1.5714285714285716,0.1163859611060101,0.1553753258788,0.0013097520758331,0.0223844903280181,0.0009834613713457854,0.0013143134208789,0.018685766055569916,0.2839468908695542,0.2000531098271358
0.05,0.3,2.2571428571428576,0.1784809473929613,0.2104031718020119,0.0020085394245417,0.0296667745000822,0.0015081640054705233,0.0018878320045352,0.02865511610393988,0.20987040215941855,0.2741295987527344
