Gamma,Iteration,Change_Factor,Acetate_threshold,ATPM,Z_Level,Y_Level,Random_Seed
0.2,1,1,0.530790864798453,6.89,0.150206896551724,0.0,1
0.15,1,1,0.443262835237393,6.89,0.150206896551724,0.0,1
0.3,1,1,0.530790864798445,6.89,0.150206896551724,0.0,1
0.294444444444444,1,1,0.530790864798448,6.89,0.150206896551724,0.0,1
0.277777777777778,1,1,0.530790864798451,6.89,0.150206896551724,0.0,1
0.211111111111111,1,1,0.530790864798449,6.89,0.150206896551724,0.0,1
0.161111111111111,1,1,0.472920473281474,6.89,0.150206896551724,0.0,1
0.1,1,1,0.288751565251707,6.89,0.150206896551724,0.0,1
0.65,1,1,0.530790864798449,6.89,0.150206896551724,0.0,1
1.0,1,1,0.53079086479845,6.89,0.150206896551724,0.0,1
0.25,1,1,0.502853713216612,6.89,0.166896551724138,0.0,1
0.2,1,1,0.502853713216606,6.89,0.166896551724138,0.0,1
0.15,1,1,0.439952990566932,6.89,0.166896551724138,0.0,1
0.3,1,1,0.50285371321661,6.89,0.166896551724138,0.0,1
0.294444444444444,1,1,0.50285371321661,6.89,0.166896551724138,0.0,1
0.277777777777778,1,1,0.502853713216615,6.89,0.166896551724138,0.0,1
0.211111111111111,1,1,0.502853713216611,6.89,0.166896551724138,0.0,1
0.161111111111111,1,1,0.469405096415931,6.89,0.166896551724138,0.0,1
0.1,1,1,0.287421876974419,6.89,0.166896551724138,0.0,1
0.65,1,1,0.502853713216609,6.89,0.166896551724138,0.0,1
1.0,1,1,0.502853713216613,6.89,0.166896551724138,0.0,1
0.25,1,1,0.474918721949665,6.89,0.183586206896552,0.0,1
0.2,1,1,0.474918721949657,6.89,0.183586206896552,0.0,1
0.15,1,1,0.436535113341922,6.89,0.183586206896552,0.0,1
0.3,1,1,0.47491872194966,6.89,0.183586206896552,0.0,1
0.294444444444444,1,1,0.474918721949656,6.89,0.183586206896552,0.0,1
0.277777777777778,1,1,0.474918721949654,6.89,0.183586206896552,0.0,1
0.211111111111111,1,1,0.474918721949655,6.89,0.183586206896552,0.0,1
0.161111111111111,1,1,0.465810578591506,6.89,0.183586206896552,0.0,1
0.1,1,1,0.285938049616761,6.89,0.183586206896552,0.0,1
0.65,1,1,0.474918721949657,6.89,0.183586206896552,0.0,1
1.0,1,1,0.474918721949659,6.89,0.183586206896552,0.0,1
0.25,1,1,0.446981443286461,6.89,0.200275862068965,0.0,1
0.2,1,1,0.446981443286454,6.89,0.200275862068965,0.0,1
0.15,1,1,0.432937297059086,6.89,0.200275862068965,0.0,1
0.3,1,1,0.446981443286456,6.89,0.200275862068965,0.0,1
0.294444444444444,1,1,0.446981443286455,6.89,0.200275862068965,0.0,1
0.277777777777778,1,1,0.446981443286454,6.89,0.200275862068965,0.0,1
0.211111111111111,1,1,0.446981443286461,6.89,0.200275862068965,0.0,1
0.161111111111111,1,1,0.446831712086735,6.89,0.200275862068965,0.0,1
0.1,1,1,0.284454222259102,6.89,0.200275862068965,0.0,1
0.65,1,1,0.446981443286455,6.89,0.200275862068965,0.0,1
1.0,1,1,0.446981443286454,6.89,0.200275862068965,0.0,1
0.25,1,1,0.419044164623254,6.89,0.216965517241379,0.0,1
0.2,1,1,0.41904416462325,6.89,0.216965517241379,0.0,1
0.15,1,1,0.418736668584342,6.89,0.216965517241379,0.0,1
0.3,1,1,0.419044164623251,6.89,0.216965517241379,0.0,1
0.294444444444444,1,1,0.419044164623256,6.89,0.216965517241379,0.0,1
0.277777777777778,1,1,0.419044164623256,6.89,0.216965517241379,0.0,1
0.211111111111111,1,1,0.419044164623255,6.89,0.216965517241379,0.0,1
0.161111111111111,1,1,0.419044164623249,6.89,0.216965517241379,0.0,1
0.1,1,1,0.282968275352007,6.89,0.216965517241379,0.0,1
0.65,1,1,0.419044164623253,6.89,0.216965517241379,0.0,1
1.0,1,1,0.419044164623255,6.89,0.216965517241379,0.0,1
0.25,1,1,0.391106885960051,6.89,0.233655172413793,0.0,1
0.2,1,1,0.39110688596005,6.89,0.233655172413793,0.0,1
0.15,1,1,0.39110688596005,6.89,0.233655172413793,0.0,1
0.3,1,1,0.391106885960052,6.89,0.233655172413793,0.0,1
0.294444444444444,1,1,0.391106885960051,6.89,0.233655172413793,0.0,1
0.277777777777778,1,1,0.391106885960049,6.89,0.233655172413793,0.0,1
0.211111111111111,1,1,0.39110688596005,6.89,0.233655172413793,0.0,1
0.161111111111111,1,1,0.391106885960047,6.89,0.233655172413793,0.0,1
0.1,1,1,0.281475244043219,6.89,0.233655172413793,0.0,1
0.65,1,1,0.391106885960048,6.89,0.233655172413793,0.0,1
1.0,1,1,0.39110688596005,6.89,0.233655172413793,0.0,1
0.25,1,1,0.366385018332745,6.89,0.250344827586207,0.0,1
0.2,1,1,0.366385018332748,6.89,0.250344827586207,0.0,1
0.15,1,1,0.36638501833275,6.89,0.250344827586207,0.0,1
0.3,1,1,0.366385018332748,6.89,0.250344827586207,0.0,1
0.294444444444444,1,1,0.36638501833275,6.89,0.250344827586207,0.0,1
0.277777777777778,1,1,0.366385018332748,6.89,0.250344827586207,0.0,1
0.211111111111111,1,1,0.366385018332746,6.89,0.250344827586207,0.0,1
0.161111111111111,1,1,0.36638501833275,6.89,0.250344827586207,0.0,1
0.1,1,1,0.279961502187723,6.89,0.250344827586207,0.0,1
0.65,1,1,0.366385018332749,6.89,0.250344827586207,0.0,1
1.0,1,1,0.366385018332746,6.89,0.250344827586207,0.0,1
0.25,1,1,0.338447883625188,6.89,0.267034482758621,0.0,1
0.2,1,1,0.338447883625191,6.89,0.267034482758621,0.0,1
0.15,1,1,0.338447883625192,6.89,0.267034482758621,0.0,1
0.3,1,1,0.338447883625187,6.89,0.267034482758621,0.0,1
0.294444444444444,1,1,0.338447883625191,6.89,0.267034482758621,0.0,1
0.277777777777778,1,1,0.33844788362519,6.89,0.267034482758621,0.0,1
0.211111111111111,1,1,0.33844788362519,6.89,0.267034482758621,0.0,1
0.161111111111111,1,1,0.33844788362519,6.89,0.267034482758621,0.0,1
0.1,1,1,0.272518365472405,6.89,0.267034482758621,0.0,1
0.65,1,1,0.338447883625189,6.89,0.267034482758621,0.0,1
1.0,1,1,0.338447883625193,6.89,0.267034482758621,0.0,1
0.25,1,1,0.31051080217305,6.89,0.283724137931034,0.0,1
0.2,1,1,0.310511317001663,6.89,0.283724137931034,0.0,1
0.15,1,1,0.310511317001662,6.89,0.283724137931034,0.0,1
0.3,1,1,0.310511317001663,6.89,0.283724137931034,0.0,1
0.294444444444444,1,1,0.31051131700166,6.89,0.283724137931034,0.0,1
0.277777777777778,1,1,0.310511317001663,6.89,0.283724137931034,0.0,1
0.211111111111111,1,1,0.310511317001666,6.89,0.283724137931034,0.0,1
0.161111111111111,1,1,0.31051131700166,6.89,0.283724137931034,0.0,1
0.1,1,1,0.269537317995056,6.89,0.283724137931034,0.0,1
0.65,1,1,0.310510748917635,6.89,0.283724137931034,0.0,1
1.0,1,1,0.310511317001664,6.89,0.283724137931034,0.0,1
0.25,1,1,0.282574131182703,6.89,0.300413793103448,0.0,1
0.2,1,1,0.282573663801079,6.89,0.300413793103448,0.0,1
0.15,1,1,0.282574131182701,6.89,0.300413793103448,0.0,1
0.3,1,1,0.282574131182701,6.89,0.300413793103448,0.0,1
0.294444444444444,1,1,0.282574131182701,6.89,0.300413793103448,0.0,1
0.277777777777778,1,1,0.282573663801078,6.89,0.300413793103448,0.0,1
0.211111111111111,1,1,0.282574131182703,6.89,0.300413793103448,0.0,1
0.161111111111111,1,1,0.282574131182698,6.89,0.300413793103448,0.0,1
0.1,1,1,0.266091699205744,6.89,0.300413793103448,0.0,1
0.65,1,1,0.282573614210063,6.89,0.300413793103448,0.0,1
1.0,1,1,0.282573663801081,6.89,0.300413793103448,0.0,1
0.25,1,1,0.254636945363741,6.89,0.317103448275862,0.0,1
0.2,1,1,0.254636945363741,6.89,0.317103448275862,0.0,1
0.15,1,1,0.254636945363738,6.89,0.317103448275862,0.0,1
0.3,1,1,0.254636945363743,6.89,0.317103448275862,0.0,1
0.294444444444444,1,1,0.254636479502516,6.89,0.317103448275862,0.0,1
0.277777777777778,1,1,0.25463652419062,6.89,0.317103448275862,0.0,1
0.211111111111111,1,1,0.25463694536374,6.89,0.317103448275862,0.0,1
0.161111111111111,1,1,0.254636524190621,6.89,0.317103448275862,0.0,1
0.1,1,1,0.254606998747285,6.89,0.317103448275862,0.0,1
0.65,1,1,0.254636945363742,6.89,0.317103448275862,0.0,1
1.0,1,1,0.254636945363738,6.89,0.317103448275862,0.0,1
0.25,1,1,0.226699759544781,6.89,0.333793103448276,0.0,1
0.2,1,1,0.226699759544783,6.89,0.333793103448276,0.0,1
0.15,1,1,0.226699759544779,6.89,0.333793103448276,0.0,1
0.3,1,1,0.226699759544783,6.89,0.333793103448276,0.0,1
0.294444444444444,1,1,0.226699759544779,6.89,0.333793103448276,0.0,1
0.277777777777778,1,1,0.22669975954478,6.89,0.333793103448276,0.0,1
0.211111111111111,1,1,0.226699759544781,6.89,0.333793103448276,0.0,1
