Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M
0.25,0.02,0.0,3.56826593104764,63.9640310950938,0.765435964269347
0.25,0.02,0.0,3.58864224035568,63.9622009933597,0.765605716819986
0.25,0.02,0.0,3.62832242163996,63.958637111034,0.765936287576493
0.25,0.02,0.0,3.69374109889184,63.9527615212549,0.766481282607491
0.25,0.02,0.0,3.79133289610358,63.9439962971585,0.767294307981605
0.25,0.02,0.0,3.92753243726734,63.931763511881,0.768428969767457
0.25,0.02,0.0,4.10874605112181,63.9155196383272,0.769938874033653
0.25,0.02,0.0,4.34146488091554,63.8946180367185,0.771877626848856
0.25,0.02,0.0,4.63209530890775,63.8685151148924,0.774298834281643
0.25,0.02,0.0,4.98707195711887,63.836632948383,0.777256102400663
0.25,0.02,0.0,5.48300244206421,63.5552490902679,0.780504104895981
0.25,0.02,0.0,6.1110569959225,63.0776412798129,0.78416206865457
0.25,0.02,0.0,6.84355930642585,62.520608438992,0.788428393123526
0.25,0.02,0.0,7.68860810876093,61.8779127660201,0.793349875280604
0.25,0.02,0.0,8.65407532806876,61.1437879065622,0.798973312103494
0.25,0.02,0.0,9.74819927024643,60.3116833872199,0.805345500569936
0.25,0.02,0.0,10.9788652503526,59.3758155074321,0.812513237657647
0.25,0.02,0.0,12.3541579180014,58.3299653305642,0.820523320344353
0.25,0.02,0.0,13.6368079072955,58.4123285122097,0.828631863455773
0.25,0.02,0.0,14.9609435107015,58.9771856004188,0.837292097568051
0.25,0.02,0.0,16.4199587003506,59.5516839438652,0.84651727359478
0.25,0.02,0.0,17.8079976523373,58.8510242508739,0.854039153675852
0.25,0.02,0.0,19.2795605667912,57.8723412578353,0.862012555028425
0.25,0.02,0.0,20.8790082487057,56.8086067554433,0.870678877198604
0.25,0.02,0.0,22.6165854806007,55.6540858243576,0.879951977455333
0.25,0.02,0.0,24.5139604518029,54.3979434715996,0.889477464107852
0.25,0.02,0.0,26.3239627682212,52.0064055536587,0.899179626554018
0.25,0.02,0.0,28.2379062802604,49.3043335657286,0.909531846814732
0.25,0.02,0.0,30.288487772313,46.4094510877583,0.920623121741905
0.25,0.02,0.0,32.5121878950301,43.4230142664944,0.932379049039025
0.25,0.02,0.0,34.8862317616736,40.8993591302024,0.942405440224748
0.25,0.02,0.0,37.4824299861972,37.4945405173433,0.94776479849701
0.25,0.02,0.0,40.248027517022,33.8374182569809,0.953125401357353
0.25,0.02,0.0,43.1812104768403,29.9585256135468,0.95880907328629
0.25,0.02,0.0,44.7916680885704,27.8145581109825,0.960992877203896
0.25,0.02,0.0,44.7916684089806,27.814563524267,0.960992941463744
0.25,0.02,0.0,44.7916689411641,27.814572515432,0.960993048195796
0.25,0.02,0.0,44.7916689411643,27.8145725154325,0.960993048195804
0.25,0.04,0.0,0.0,0.0,0.0
0.25,0.04,0.0,0.0,0.0,0.0
0.25,0.04,0.0,0.0,6.59579274501489,0.0124768958089772
0.25,0.04,0.0,0.0,7.68149041673094,0.0274288175176832
0.25,0.04,0.0,0.0,8.76728623351369,0.0423904145765221
0.25,0.04,0.0,0.0,9.84482450807026,0.0573200831652731
0.25,0.04,0.0,0.0,10.928265080803,0.0722756801329884
0.25,0.04,0.0,0.0,12.0118434111291,0.0872313480567531
0.25,0.04,0.0,0.0,13.0953906443799,0.102186885162431
0.25,0.04,0.0,0.0,14.178867024857,0.117142487677268
0.25,0.04,0.0,0.0,15.2799211574025,0.132027849959045
0.25,0.04,0.0,0.0,16.383974769107,0.146913161055489
0.25,0.04,0.0,0.0,17.4878715914217,0.161798487411355
0.25,0.04,0.0,0.0,18.5918540421072,0.176683783248202
0.25,0.04,0.0,0.0,19.6959253849367,0.191569112411854
0.25,0.04,0.0,0.0,20.7999160767811,0.206454405441031
0.25,0.04,0.0,0.0,21.9037531060868,0.221339716537419
0.25,0.04,0.0,0.0,23.0078867306127,0.236225027633804
0.25,0.04,0.0,0.0,24.1118362842098,0.251110459202383
0.25,0.04,0.0,0.0,25.2158573256673,0.265995650024546
0.25,0.04,0.0,0.0,26.3198278581739,0.2808810109434
0.25,0.04,0.0,0.0,27.4238280382817,0.295766272019367
0.25,0.04,0.0,0.0,28.527625262064,0.310651677071339
0.25,0.04,0.0,0.0,29.6449274646882,0.325492114114491
0.25,0.04,0.0,0.0,30.8098190162746,0.340172881008925
0.25,0.04,0.0,0.0,31.9743586930346,0.354853647903359
0.25,0.04,0.0,0.0,33.139265430407,0.369534414797794
0.25,0.04,0.0,0.0,34.303789921377,0.38421518169223
0.25,0.04,0.0,0.0,35.4687118445332,0.398895948586667
0.25,0.04,0.0,0.0,36.6393060771832,0.413126242559697
0.25,0.04,0.0,0.0,37.8185890210577,0.42721986092743
0.25,0.04,0.0,0.0,38.9979177785285,0.441312935873965
0.25,0.04,0.0,0.0,40.177246535997,0.4554060108205
0.25,0.04,0.0,0.0,41.3565752934647,0.469499085767034
0.25,0.04,0.0,0.0,42.5359040509349,0.48359216071357
0.25,0.04,0.0,0.0,43.715453145506,0.497682622115927
0.25,0.04,0.0,0.0,44.8950676145209,0.511772308074691
0.25,0.04,0.0,0.0,46.0747375552154,0.525861336052177
0.25,0.04,0.0,0.0,47.2545143077554,0.539949097073336
0.25,0.04,0.0,0.0,48.4349996318377,0.554028453322881
0.25,0.04,0.0,0.0,49.6566831915265,0.568089525127218
0.25,0.04,0.0,0.0,50.8800310746244,0.581552889958195
0.25,0.04,0.0,0.0,52.1586481092452,0.594965380946754
0.25,0.04,0.0,0.0,53.4370943190166,0.608379325951318
0.25,0.04,0.0,0.0,54.7165896440257,0.621784341164225
0.25,0.04,0.0,0.0,55.9967249493543,0.635183909033781
0.25,0.04,0.0,0.0,57.2795685022592,0.648561567382987
0.25,0.04,0.0,0.0,58.5672244325065,0.661897145169926
0.25,0.04,0.0,0.0,59.8583804417181,0.675201741864272
0.25,0.04,0.0,0.0,61.1496734213895,0.688506338558613
0.25,0.04,0.0,0.0,62.4411116311281,0.70181093525296
0.25,0.04,0.0,0.201017832269478,63.1570404978645,0.710100356312094
0.25,0.04,0.0,0.618295852142863,63.1219503774672,0.713634738369478
0.25,0.04,0.0,1.03667380820472,63.0843403832752,0.717120006881486
0.25,0.04,0.0,1.45683060187219,63.1130569885486,0.72052018393143
0.25,0.04,0.0,1.87880513191395,63.2081878667549,0.723836964884209
0.25,0.04,0.0,2.30080638485538,63.3033273344645,0.727153745837007
0.25,0.04,0.0,2.72278103678792,63.39845825185,0.730470526789788
0.25,0.04,0.0,3.2408994854862,62.9138710949414,0.733638928497241
0.25,0.04,0.0,3.76375400857177,62.4007268390252,0.736800020995254
0.25,0.04,0.0,4.39975707430378,61.7766029213513,0.740645473724844
0.25,0.04,0.0,4.40109739020057,61.7752874980608,0.740653577057518
0.25,0.04,0.0,4.41047960147749,61.766079535027,0.740710300386281
0.25,0.04,0.0,4.43594560351436,61.7410864925071,0.740864263707176
0.25,0.04,0.0,4.48554131515258,61.6924162542827,0.741164087016316
0.25,0.04,0.0,4.56734339181548,61.6120614303593,0.741658390309745
0.25,0.04,0.0,4.68926933813058,61.4924719148372,0.742395793583553
0.25,0.04,0.0,4.85954394294614,61.3252225339254,0.743423687198443
0.25,0.04,0.0,5.08599881339311,61.1031061966335,0.744794380056585
