Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_EX_co2_e_f,rx_EDD,rx_MALS,rx_AKGDH,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M,rx_EX_glc__D_e_b
0.2,0.01,0.0,0.0,5.81434370624584,0.0,0.0004247209017416,1.68038531364431,17.4879600959944,0.161798472151972,2.0728813559322
0.2,0.01,0.0,0.0,6.19147956882193,0.0,0.0004637948472085,1.77186785080393,18.5919454229141,0.176683783248358,2.23728813559322
0.2,0.01,0.0,0.0,6.56861543139507,0.0,0.0005028687072838,1.86335038806432,19.6959307498093,0.191569094344821,2.40169491525424
0.2,0.01,0.0,0.0,6.94573625663986,0.0,9.49859482393123e-05,1.95536015450548,20.799781088003,0.206454500444283,2.56610169491525
0.2,0.01,0.0,0.0,7.32287520421221,0.0,0.0002098301323325,2.04675318352501,21.9037869268131,0.221339716537358,2.73050847457627
0.2,0.01,0.0,0.0,7.70002301913325,0.0,0.0006200907721742,2.13779799927324,23.0078867306305,0.236225027633745,2.89491525423729
0.2,0.01,0.0,0.0,8.07715888170731,0.0,0.0006591646631908,2.22928053649719,24.1118720575352,0.251110338730188,3.05932203389831
0.2,0.01,0.0,0.0,8.45429474428693,0.0,0.0006982386699898,2.3207630735844,25.2158573844718,0.265995649826517,3.22372881355932
0.2,0.01,0.0,0.0,8.83142711724793,0.0,0.0006469200330658,2.41235234623062,26.3198173966613,0.280881046174159,3.38813559322034
0.2,0.01,0.0,0.0,9.20856646943548,0.0,0.0007763864621477,2.50372814802012,27.4238280382822,0.295766272019365,3.55254237288136
0.2,0.01,0.0,0.0,9.58572335809708,0.0,0.0,2.59618209712137,28.5276279336772,0.310651712445312,3.71694915254237
0.2,0.01,0.0,0.0,9.96283819458779,0.0,0.0008545343462089,2.68669322234734,29.6317986921182,0.325536894212138,3.88135593220339
0.2,0.01,0.0,0.0,10.3399740571646,0.0,0.0008936082918062,2.77817575950686,30.7357840190378,0.340422205308523,4.04576271186441
0.2,0.01,0.0,0.0,10.7213917105344,0.0,0.11174641345894,2.7388086106456,31.8707861924246,0.355202443704768,4.21016949152542
0.2,0.01,0.0,0.0,11.1069194219979,0.0,0.328290035553656,2.57464752713261,33.035445288447,0.369883210599204,4.37457627118644
0.2,0.01,0.0,0.0,11.4924279525279,0.0,0.545170389542533,2.41008421239874,34.2001586593954,0.384563977493638,4.53898305084746
0.2,0.01,0.0,0.0,11.8779577890932,0.0,0.76260264171612,2.24486921673833,35.3650265911466,0.399244223881869,4.70338983050847
0.2,0.01,0.0,0.0,12.2634668444305,0.0,0.979496589974944,2.08028984990157,36.5297437692125,0.413924977955276,4.86779661016949
0.2,0.01,0.0,0.0,12.6489761492386,0.0,1.19639700038281,1.91570285256455,37.6944627570236,0.428605725934104,5.03220338983051
0.2,0.01,0.0,0.0,13.047686172713,0.0,1.29598335945726,1.77295707287408,38.8627935612362,0.442915721371418,5.19661016949153
0.2,0.01,0.0,0.0,13.4571641648379,0.0,1.33722178198447,1.61858067021348,40.0420732016113,0.457009378923871,5.36101694915254
0.2,0.01,0.0,0.0,13.8666660075384,0.0,1.37845849979104,1.46405297563108,41.2214019590795,0.4711024538704,5.52542372881356
0.2,0.01,0.0,0.0,14.2761678502395,0.0,1.41969521759764,1.30952528104861,42.4007307165479,0.485195528816941,5.68983050847458
0.2,0.01,0.0,0.0,14.6856696929411,0.0,1.46093193540421,1.15499758646292,43.5800594740182,0.499288603763473,5.85423728813559
0.2,0.01,0.0,0.0,15.1065922244663,0.0,1.50205416909646,0.930934876184012,44.7951112795408,0.513381678710008,6.01864406779661
0.2,0.01,0.0,0.0,15.516407581713,0.0,1.54328774414734,0.77449834412469,45.9754206867182,0.527474753656545,6.18305084745763
