Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),3hcvac11eACP_c  -> t3c11vaceACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),3haACP_c  -> h2o_c + but2eACP_c ,4.2.1.59,18000.45,368.4865
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),3hhexACP_c  -> thex2eACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),3hdecACP_c  -> tdec2eACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3hmrsACP_c  -> h2o_c + tmrs2eACP_c ,4.2.1.59,18000.45,368.4865
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c  -> tpalm2eACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c  -> toctd2eACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,atp_c + 6hmhpt_c  -> h_c + 6hmhptpp_c + amp_c ,2.7.6.3,18078.26,0.17
UGLYCH,Ureidoglycolate hydrolase,2 h_c + h2o_c + urdglyc_c  -> glx_c + 2 nh4_c + co2_c ,4.3.2.3,18169.03,0.018
NTP12,Nucleoside-triphosphatase (XTP),xtp_c + h2o_c  -> h_c + pi_c + xdp_c ,3.6.1.-,18212.13,1009
NTP11,Nucleoside-triphosphatase (dITP),ditp_c + h2o_c  -> h_c + pi_c + didp_c ,3.6.1.-,18212.13,38.49325
GDPMNH,GDP-mannose mannosyl hydrolase,gdpmann_c + h2o_c  -> h_c + gdp_c + man_c ,3.6.1.-,18272.87,151
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),prpp_c + hxan_c  -> imp_c + ppi_c ,2.4.2.22,18542.31,83.4
GUAPRT,Guanine phosphoribosyltransferase,gua_c + prpp_c  -> ppi_c + gmp_c ,2.4.2.22,18542.31,112
T2DECAI_f,Trans-2-decenoyl-ACP isomerase,tdec2eACP_c  -> cdec3eACP_c ,5.3.3.14,18968.47,15
T2DECAI_b,Trans-2-decenoyl-ACP isomerase,cdec3eACP_c  -> tdec2eACP_c ,5.3.3.14,18968.47,15
METNA_f,L-amino acid N-acyltransferase,accoa_c + met__L_c  -> h_c + acmet_c + coa_c ,2.3.1.-,19247.13,32.4876
METNA_b,L-amino acid N-acyltransferase,h_c + acmet_c + coa_c  -> accoa_c + met__L_c ,2.3.1.-,19247.13,109.4666667
SHKK,Shikimate kinase,skm_c + atp_c  -> h_c + adp_c + skm5p_c ,2.7.1.71,19343.855,35
RHCCE,S-ribosylhomocysteine cleavage enzyme,rhcys_c  -> dhptd_c + hcys__L_c ,4.4.1.21,19415.62,0.4
RPI_f,Ribose-5-phosphate isomerase,r5p_c  -> ru5p__D_c ,5.3.1.6,19466.33,1076
RPI_b,Ribose-5-phosphate isomerase,ru5p__D_c  -> r5p_c ,5.3.1.6,19466.33,8
NDPK5_f,Nucleoside-diphosphate kinase (ATP:dGDP),dgdp_c + atp_c  -> adp_c + dgtp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK6_f,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c  -> dutp_c + adp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK8_f,Nucleoside-diphosphate kinase (ATP:dADP),dadp_c + atp_c  -> adp_c + datp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK7_f,Nucleoside-diphosphate kinase (ATP:dCDP),atp_c + dcdp_c  -> adp_c + dctp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK2_f,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c  -> adp_c + utp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK3_f,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c  -> ctp_c + adp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK4_f,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c  -> adp_c + dttp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK1_f,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c  -> adp_c + gtp_c ,"2.7.4.3, 2.7.4.6",19524.12,458.5
NDPK5_b,Nucleoside-diphosphate kinase (ATP:dGDP),adp_c + dgtp_c  -> dgdp_c + atp_c ,2.7.4.3,19524.12,783
NDPK6_b,Nucleoside-diphosphate kinase (ATP:dUDP),dutp_c + adp_c  -> atp_c + dudp_c ,2.7.4.3,19524.12,783
NDPK8_b,Nucleoside-diphosphate kinase (ATP:dADP),adp_c + datp_c  -> dadp_c + atp_c ,2.7.4.3,19524.12,783
NDPK7_b,Nucleoside-diphosphate kinase (ATP:dCDP),adp_c + dctp_c  -> atp_c + dcdp_c ,2.7.4.3,19524.12,783
NDPK2_b,Nucleoside-diphosphate kinase (ATP:UDP),adp_c + utp_c  -> atp_c + udp_c ,2.7.4.3,19524.12,783
