Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
SLNTtex_f,Selenite transport via diffusion (extracellular to periplasm),slnt_e  -> slnt_p ,,39959.4825,100000000
TARTRDtex_f,D-tartrate transport via diffusion (extracellular to periplasm),tartr__D_e  -> tartr__D_p ,,39959.4825,100000000
BTNtex_f,Biotin transport via diffusion (extracellular to periplasm),btn_e  -> btn_p ,,39959.4825,100000000
ARBTtex,Arbutin transport via diffusion (extracellular to periplasm),arbt_e  -> arbt_p ,,39959.4825,100000000
PYDXtex_f,Pyridoxal transport via diffusion (extracellular),pydx_e  -> pydx_p ,,39959.4825,100000000
PYDXNtex_f,Pyridoxine transport via diffusion (extracellular),pydxn_e  -> pydxn_p ,,39959.4825,100000000
PYDAMtex_f,Pyridoxamine transport via diffusion (extracellular),pydam_e  -> pydam_p ,,39959.4825,100000000
CRNDtex_f,D-carnitine transport via diffusion (extracellular to periplasm),crn__D_e  -> crn__D_p ,,39959.4825,100000000
PSURItex_f,Pseudouridine transport via diffusion (extracellular to periplasm),psuri_e  -> psuri_p ,,39959.4825,100000000
FMNtex_f,"FMN transport, outer membrane",fmn_p  -> fmn_e ,,39959.4825,22
CLBtex_f,Cellobiose transport transport via diffusion extracellular to periplasm ,cellb_e  -> cellb_p ,,39959.4825,100000000
FADtex_f,"FAD transport, outer membrane",fad_p  -> fad_e ,,39959.4825,22
2DGLCtex_f,2-Deoxy-D-glucose transport via diffusion (extracellular),2dglc_e  -> 2dglc_p ,,39959.4825,100000000
URATEtex_f,Uric acid transport,urate_e  -> urate_p ,,39959.4825,22
Ftex_f,Fluoride transport via diffusion,f_p  -> f_e ,,39959.4825,100000000
CYSItex_f,L cystine transport via diffusion extracellular to periplasm ,cysi__L_e  -> cysi__L_p ,,39959.4825,100000000
CS1tex_f,Cesium transport via diffusion,cs1_e  -> cs1_p ,,39959.4825,100000000
MEPNtex_f,Methylphosphonic acid transport via diffusion (extracellular to periplasm),mepn_e  -> mepn_p ,,39959.4825,100000000
4ABZGLUtex_f,P-aminobenzoyl glutamate transport via diffusion (extracellular to periplasm),4abzglu_e  -> 4abzglu_p ,,39959.4825,100000000
METGLCURtex_f,1-O-methyl-Beta-D-glucuronate via diffusion (extracellular),metglcur_e  -> metglcur_p ,,39959.4825,100000000
AI2tex_f,"Ai2 transport, outer membrane",mththf_e  -> mththf_p ,,39959.4825,22
GLUtex_b,L-glutamate transport via diffusion (extracellular to periplasm),glu__L_p  -> glu__L_e ,,39959.4825,100000000
GLYtex_b,Glycine transport via diffusion (extracellular to periplasm),gly_p  -> gly_e ,,39959.4825,100000000
GLYALDtex_b,Glyceraldehyde transport via diffusion (extracellular to periplasm),glyald_p  -> glyald_e ,,39959.4825,100000000
GLYBtex_b,Glycine betaine transport via diffusion (extracellular to periplasm),glyb_p  -> glyb_e ,,39959.4825,100000000
GLYCtex_b,Glycerol transport via diffusion (extracellular to periplasm),glyc_p  -> glyc_e ,,39959.4825,100000000
GLYC3Ptex_b,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),glyc3p_p  -> glyc3p_e ,,39959.4825,100000000
GLYCLTtex_b,Glycolate transport via diffusion (extracellular to periplasm),glyclt_p  -> glyclt_e ,,39959.4825,100000000
GTPtex_b,GTP transport via diffusion (extracellular to periplasm),gtp_p  -> gtp_e ,,39959.4825,100000000
Htex_b,Proton transport via diffusion (extracellular to periplasm),h_p  -> h_e ,,39959.4825,100000000
H2tex_b,Hydrogen transport via diffusion (extracellular to periplasm),h2_p  -> h2_e ,,39959.4825,100000000
DAPtex_b,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",15dap_p  -> 15dap_e ,,39959.4825,100000000
12PPDStex_b,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",12ppd__S_p  -> 12ppd__S_e ,,39959.4825,100000000
DDGLCNtex_b,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),2ddglcn_p  -> 2ddglcn_e ,,39959.4825,100000000
26DAHtex_b,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",26dap__M_p  -> 26dap__M_e ,,39959.4825,100000000
HCINNMtex_b,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),3hcinnm_p  -> 3hcinnm_e ,,39959.4825,100000000
HPPPNtex_b,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),3hpppn_p  -> 3hpppn_e ,,39959.4825,100000000
ACtex_b,Acetate transport via diffusion (extracellular to periplasm),ac_p  -> ac_e ,,39959.4825,100000000
ACALDtex_b,Acetaldehyde transport via diffusion (extracellular to periplasm),acald_p  -> acald_e ,,39959.4825,100000000
ACMANAtex_b,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),acmana_p  -> acmana_e ,,39959.4825,100000000
GALtex_b,D-galactose transport via diffusion (extracellular to periplasm),gal_p  -> gal_e ,,39959.4825,100000000
GALCTtex_b,D-galactarte transport via diffusion (extracellular to periplasm),galct__D_p  -> galct__D_e ,,39959.4825,100000000
GALCTNtex_b,D-galactonate transport via diffusion (extracellular to periplasm),galctn__D_p  -> galctn__D_e ,,39959.4825,100000000
GALTtex_b,Galactitol transport via diffusion (extracellular to periplasm),galt_p  -> galt_e ,,39959.4825,100000000
GALURtex_b,D-galacturonate transport via diffusion (extracellular to periplasm),galur_p  -> galur_e ,,39959.4825,100000000
GAMtex_b,D-glucosamine transport via diffusion (extracellular to periplasm),gam_p  -> gam_e ,,39959.4825,100000000
GBBTNtex_b,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),gbbtn_p  -> gbbtn_e ,,39959.4825,100000000
HIStex_b,L-histidine transport via diffusion (extracellular to periplasm),his__L_p  -> his__L_e ,,39959.4825,100000000
HXAtex_b,Hexanoate transport via diffusion (extracellular to periplasm),hxa_p  -> hxa_e ,,39959.4825,100000000
HYXNtex_b,Hypoxanthine transport via diffusion (extracellular to periplasm),hxan_p  -> hxan_e ,,39959.4825,100000000
IDONtex_b,L-idonate transport via diffusion (extracellular to periplasm),idon__L_p  -> idon__L_e ,,39959.4825,100000000
ILEtex_b,L-isoleucine transport via diffusion (extracellular to periplasm),ile__L_p  -> ile__L_e ,,39959.4825,100000000
INSTtex_b,Inositol transport via diffusion (extracellular to periplasm),inost_p  -> inost_e ,,39959.4825,100000000
Ktex_b,Potassium transport via diffusion (extracellular to periplasm),k_p  -> k_e ,,39959.4825,100000000
D_LACtex_b,D-lactate transport via diffusion (extracellular to periplasm),lac__D_p  -> lac__D_e ,,39959.4825,100000000
FRULYStex_b,Fructoselysine transporter via diffusion (extracellular),frulys_p  -> frulys_e ,,39959.4825,100000000
ASPtex_b,L-aspartate transport via diffusion (extracellular to periplasm),asp__L_p  -> asp__L_e ,,39959.4825,100000000
INDOLEtex_b,Indole transport via diffusion (extracellular to periplasm),indole_p  -> indole_e ,,39959.4825,100000000
L_LACtex_b,L-lactate transport via diffusion (extracellular to periplasm),lac__L_p  -> lac__L_e ,,39959.4825,100000000
GLCRtex_b,D-glucarate transport via diffusion (extracellular to periplasm),glcr_p  -> glcr_e ,,39959.4825,100000000
GLCNtex_b,D-gluconate transport via diffusion (extracellular to periplasm),glcn_p  -> glcn_e ,,39959.4825,100000000
GLCURtex_b,D-glucuronat transport via diffusion (extracellular to periplasm),glcur_p  -> glcur_e ,,39959.4825,100000000
GLNtex_b,L-glutamine transport via diffusion (extracellular to periplasm),gln__L_p  -> gln__L_e ,,39959.4825,100000000
O2tex_b,Oxygen transport via diffusion (extracellular to periplasm),o2_p  -> o2_e ,,39959.4825,100000000
OCTAtex_b,Octanoate transport via diffusion (extracellular to periplasm),octa_p  -> octa_e ,,39959.4825,100000000
ORNtex_b,Ornithine transport via diffusion (extracellular to periplasm),orn_p  -> orn_e ,,39959.4825,100000000
RMNtex_b,L-rhamnose transport via diffusion (extracellular to periplasm),rmn_p  -> rmn_e ,,39959.4825,100000000
PHEtex_b,L-phenylalanine transport via diffusion (extracellular to periplasm),phe__L_p  -> phe__L_e ,,39959.4825,100000000
PItex_b,Phosphate transport via diffusion (extracellular to periplasm),pi_p  -> pi_e ,,39959.4825,100000000
PNTOtex_b,Pantothenate transport via diffusion (extracellular to periplasm),pnto__R_p  -> pnto__R_e ,,39959.4825,100000000
PPPNtex_b,3-phenylpropionate transport via diffusion (extracellular to periplasm),pppn_p  -> pppn_e ,,39959.4825,100000000
PPTtex_b,Phosphonate transport via diffusion (extracellular to periplasm),ppt_p  -> ppt_e ,,39959.4825,100000000
PTRCtex_b,Putrescine transport via diffusion (extracellular to periplasm),ptrc_p  -> ptrc_e ,,39959.4825,100000000
PYRtex_b,Pyruvate transport via diffusion (extracellular to periplasm),pyr_p  -> pyr_e ,,39959.4825,100000000
DSERtex_b,D-serine transport via diffusion (extracellular to periplasm),ser__D_p  -> ser__D_e ,,39959.4825,100000000
SERtex_b,L-serine transport via diffusion (extracellular to periplasm),ser__L_p  -> ser__L_e ,,39959.4825,100000000
SO4tex_b,Sulfate transport via diffusion (extracellular to periplasm),so4_p  -> so4_e ,,39959.4825,100000000
SPMDtex_b,Spermidine transport via diffusion (extracellular to periplasm),spmd_p  -> spmd_e ,,39959.4825,100000000
SUCCtex_b,Succinate transport via diffusion (extracellular to periplasm),succ_p  -> succ_e ,,39959.4825,100000000
SUCRtex_b,Sucrose transport transport via diffusion (extracellular to periplasm),sucr_p  -> sucr_e ,,39959.4825,100000000
TARTRtex_b,Tartrate transport via diffusion (extracellular to periplasm),tartr__L_p  -> tartr__L_e ,,39959.4825,100000000
TAURtex_b,Taurine transport via diffusion (extracellular to periplasm),taur_p  -> taur_e ,,39959.4825,100000000
THRtex_b,L-threonine transport via diffusion (extracellular to periplasm),thr__L_p  -> thr__L_e ,,39959.4825,100000000
THMDtex_b,Thymidine transport via diffusion (extracellular to periplasm),thymd_p  -> thymd_e ,,39959.4825,100000000
METDtex_b,D-methionine transport via diffusion (extracellular to periplasm),met__D_p  -> met__D_e ,,39959.4825,100000000
METtex_b,L-methionine transport via diffusion (extracellular to periplasm),met__L_p  -> met__L_e ,,39959.4825,100000000
MNLtex_b,Mannitol transport via diffusion (extracellular to periplasm),mnl_p  -> mnl_e ,,39959.4825,100000000
NAtex_b,Sodium transport via diffusion (extracellular to periplasm),na1_p  -> na1_e ,,39959.4825,100000000
NACtex_b,Nicotinic acid transport via diffusion (extracellular to periplasm),nac_p  -> nac_e ,,39959.4825,100000000
NH4tex_b,Ammonia transport via diffusion (extracellular to periplasm),nh4_p  -> nh4_e ,,39959.4825,100000000
BUTtex_b,Butyrate transport via diffusion (extracellular to periplasm),but_p  -> but_e ,,39959.4825,100000000
CHLtex_b,Choline transport via diffusion (extracellular to periplasm),chol_p  -> chol_e ,,39959.4825,100000000
CO2tex_b,CO2 transport via diffusion (extracellular to periplasm),co2_p  -> co2_e ,,39959.4825,100000000
CRNtex_b,L-carnitine transport via diffusion (extracellular to periplasm),crn_p  -> crn_e ,,39959.4825,100000000
DINStex_b,Deoxyinosine transport via diffusion (extracellular to periplasm),din_p  -> din_e ,,39959.4825,100000000
DMStex_b,Dimethyl sulfide transport via diffusion (extracellular to periplasm),dms_p  -> dms_e ,,39959.4825,100000000
CSNtex_b,Cytosine transport via diffusion (extracellular to periplasm),csn_p  -> csn_e ,,39959.4825,100000000
CYNTtex_b,Cyanate transport via diffusion (extracellular to periplasm),cynt_p  -> cynt_e ,,39959.4825,100000000
CYStex_b,L-cysteine transport via diffusion (extracellular to periplasm),cys__L_p  -> cys__L_e ,,39959.4825,100000000
CYTDtex_b,Cytidine transport via diffusion (extracellular to periplasm),cytd_p  -> cytd_e ,,39959.4825,100000000
DCAtex_b,Decanoate transport via diffusion (extracellular to periplasm),dca_p  -> dca_e ,,39959.4825,100000000
DGSNtex_b,Deoxyguanosine transport via diffusion (extracellular to periplasm),dgsn_p  -> dgsn_e ,,39959.4825,100000000
LCTStex_b,Lactose transport via diffusion (extracellular to periplasm),lcts_p  -> lcts_e ,,39959.4825,100000000
LEUtex_b,L-leucine transport via diffusion (extracellular to periplasm),leu__L_p  -> leu__L_e ,,39959.4825,100000000
LYStex_b,L-lysine transport via diffusion (extracellular to periplasm),lys__L_p  -> lys__L_e ,,39959.4825,100000000
LYXtex_b,L-Lyxose transport via diffusion (extracellular to periplasm),lyx__L_p  -> lyx__L_e ,,39959.4825,100000000
MANtex_b,D-mannose transport via diffusion (extracellular to periplasm),man_p  -> man_e ,,39959.4825,100000000
MAN6Ptex_b,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),man6p_p  -> man6p_e ,,39959.4825,100000000
MELIBtex_b,Melibiose transport via diffusion (extracellular to periplasm),melib_p  -> melib_e ,,39959.4825,100000000
DMSOtex_b,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),dmso_p  -> dmso_e ,,39959.4825,100000000
FRUtex_b,D-fructose transport via diffusion (extracellular to periplasm),fru_p  -> fru_e ,,39959.4825,100000000
FUCtex_b,L-fucose transport via diffusion (extracellular to periplasm),fuc__L_p  -> fuc__L_e ,,39959.4825,100000000
FUMtex_b,Fumarate transport via diffusion (extracellular to periplasm),fum_p  -> fum_e ,,39959.4825,100000000
FE2tex_b,Iron (II) transport via diffusion (extracellular to periplasm),fe2_p  -> fe2_e ,,39959.4825,100000000
NMNtex_b,NMN transport via diffusion (extracellular to periplasm),nmn_p  -> nmn_e ,,39959.4825,100000000
NO2tex_b,Nitrite transport via diffusion (extracellular to periplasm),no2_p  -> no2_e ,,39959.4825,100000000
GDPtex_b,GDP transport via diffusion (extracellular to periplasm),gdp_p  -> gdp_e ,,39959.4825,100000000
TMAtex_b,Trimethylamine transport via diffusion (extracellular to periplasm),tma_p  -> tma_e ,,39959.4825,100000000
TMAOtex_b,Trimethylamine N-oxide transport via diffusion (extracellular to periplasm),tmao_p  -> tmao_e ,,39959.4825,100000000
TREtex_b,Trehalose transport via diffusion (extracellular to periplasm),tre_p  -> tre_e ,,39959.4825,100000000
TRPtex_b,L-tryptophan transport via diffusion (extracellular to periplasm),trp__L_p  -> trp__L_e ,,39959.4825,100000000
TSULtex_b,Thiosulfate transport via diffusion (extracellular to periplasm),tsul_p  -> tsul_e ,,39959.4825,100000000
TYRtex_b,L-tyrosine transport via diffusion (extracellular to periplasm),tyr__L_p  -> tyr__L_e ,,39959.4825,100000000
URAtex_b,Uracil transport via diffusion (extracellular to periplasm),ura_p  -> ura_e ,,39959.4825,100000000
UREAtex_b,Urea transport via diffusion (extracellular to periplasm),urea_p  -> urea_e ,,39959.4825,100000000
VALtex_b,L-valine transport via diffusion (extracellular to periplasm),val__L_p  -> val__L_e ,,39959.4825,100000000
XANtex_b,Xanthine transport via diffusion (extracellular to periplasm),xan_p  -> xan_e ,,39959.4825,100000000
XYLtex_b,D-xylose transport via diffusion (extracellular to periplasm),xyl__D_p  -> xyl__D_e ,,39959.4825,100000000
ABUTtex_b,4-aminobutyrate transport via diffusion (extracellular to periplasm),4abut_p  -> 4abut_e ,,39959.4825,100000000
23CAMPtex_b,23cAMP transport via diffusion (extracellular to periplasm),23camp_p  -> 23camp_e ,,39959.4825,100000000
23CCMPtex_b,23cCMP transport via diffusion (extracellular to periplasm),23ccmp_p  -> 23ccmp_e ,,39959.4825,100000000
23CUMPtex_b,23cUMP transport via diffusion (extracellular to periplasm),23cump_p  -> 23cump_e ,,39959.4825,100000000
23CGMPtex_b,23cGMP transport via diffusion (extracellular to periplasm),23cgmp_p  -> 23cgmp_e ,,39959.4825,100000000
3AMPtex_b,3AMP transport via diffusion (extracellular to periplasm),3amp_p  -> 3amp_e ,,39959.4825,100000000
3CMPtex_b,3CMP transport via diffusion (extracellular to periplasm),3cmp_p  -> 3cmp_e ,,39959.4825,100000000
ETHSO3tex_b,Ethanesulfonate transport via diffusion (extracellular to periplasm),ethso3_p  -> ethso3_e ,,39959.4825,100000000
BUTSO3tex_b,Butanesulfonate transport via diffusion (extracellular to periplasm),butso3_p  -> butso3_e ,,39959.4825,100000000
LIPOtex_b,Lipoate transport via diffusion (extracellular to periplasm),lipoate_p  -> lipoate_e ,,39959.4825,100000000
GALBDtex_b,Beta D-galactose transport via diffusion (extracellular to periplasm),gal_bD_p  -> gal_bD_e ,,39959.4825,100000000
SULFACtex_b,Sulfoaceate transport via diffusion (extracellular to periplasm),sulfac_p  -> sulfac_e ,,39959.4825,100000000
NOtex_b,Nitric oxide transport via diffusion (extracellular to periplasm),no_p  -> no_e ,,39959.4825,100000000
N2Otex_b,Nitrious oxide transport via diffusion (extracellular to periplasm),n2o_p  -> n2o_e ,,39959.4825,100000000
PEAMNtex_b,Phenethylamine transport via diffusion (extracellular to periplasm),peamn_p  -> peamn_e ,,39959.4825,100000000
PACALDtex_b,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm),pacald_p  -> pacald_e ,,39959.4825,100000000
CYANtex_b,Cyanide transport via diffusion (extracellular to periplasm),cyan_p  -> cyan_e ,,39959.4825,100000000
SO3tex_b,Sulfite transport via diffusion (extracellular to periplasm),so3_p  -> so3_e ,,39959.4825,100000000
TCYNTtex_b,Thiocyanate transport via diffusion (extracellular to periplasm),tcynt_p  -> tcynt_e ,,39959.4825,100000000
METSOX1tex_b,L-methionine S-oxide diffusion (extracellular),metsox_S__L_p  -> metsox_S__L_e ,,39959.4825,100000000
METSOX2tex_b,L-methionine R-oxide diffusion (extracellular),metsox_R__L_p  -> metsox_R__L_e ,,39959.4825,100000000
3UMPtex_b,3UMP transport via diffusion (extracellular to periplasm),3ump_p  -> 3ump_e ,,39959.4825,100000000
3GMPtex_b,3GMP transport via diffusion (extracellular to periplasm),3gmp_p  -> 3gmp_e ,,39959.4825,100000000
DOPAtex_b,Dopamine transport via diffusion (extracellular to periplasm),dopa_p  -> dopa_e ,,39959.4825,100000000
4HOXPACDtex_b,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),4hoxpacd_p  -> 4hoxpacd_e ,,39959.4825,100000000
ETHAtex_b,Ethanolamine transport via diffusion (extracellular),etha_p  -> etha_e ,,39959.4825,100000000
G3PStex_b,Glycerophosphserine transport via diffusion (extracellular to periplasm),g3ps_p  -> g3ps_e ,,39959.4825,100000000
ACGAL1Ptex_b,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),acgal1p_p  -> acgal1p_e ,,39959.4825,100000000
ACGALtex_b,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),acgal_p  -> acgal_e ,,39959.4825,100000000
GLCUR1Ptex_b,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),glcur1p_p  -> glcur1p_e ,,39959.4825,100000000
UDPGLCURtex_b,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),udpglcur_p  -> udpglcur_e ,,39959.4825,100000000
ISETACtex_b,Isethionate transport via diffusion (extracellular to periplasm),isetac_p  -> isetac_e ,,39959.4825,100000000
UDPGtex_b,UDPglucose transport via diffusion (extracellular to periplasm),udpg_p  -> udpg_e ,,39959.4825,100000000
UDPGALtex_b,UDPgalactose transport via diffusion (extracellular to periplasm),udpgal_p  -> udpgal_e ,,39959.4825,100000000
ACGAM1Ptex_b,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),acgam1p_p  -> acgam1p_e ,,39959.4825,100000000
UACGAMtex_b,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),uacgam_p  -> uacgam_e ,,39959.4825,100000000
UDPACGALtex_b,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),udpacgal_p  -> udpacgal_e ,,39959.4825,100000000
MSO3tex_b,Methanesulfonate transport via diffusion (extracellular to periplasm),mso3_p  -> mso3_e ,,39959.4825,100000000
GLYC2Ptex_b,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),glyc2p_p  -> glyc2p_e ,,39959.4825,100000000
PSERtex_b,Phospho-L-serine transport via diffusion (extracellular to periplasm),pser__L_p  -> pser__L_e ,,39959.4825,100000000
R5Ptex_b,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),r5p_p  -> r5p_e ,,39959.4825,100000000
THRPtex_b,Phospho-L-threonine transport via diffusion (extracellular to periplasm),thrp_p  -> thrp_e ,,39959.4825,100000000
TYRPtex_b,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),tyrp_p  -> tyrp_e ,,39959.4825,100000000
CITtex_b,Citrate transport via diffusion (extracellular to periplasm),cit_p  -> cit_e ,,39959.4825,100000000
ACGAtex_b,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),acgam_p  -> acgam_e ,,39959.4825,100000000
G6Ptex_b,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),g6p_p  -> g6p_e ,,39959.4825,100000000
MOBDtex_b,Molybdate transport via diffusion (extracellular to periplasm),mobd_p  -> mobd_e ,,39959.4825,100000000
NI2tex_b,Nickel transport via diffusion (extracellular to periplasm),ni2_p  -> ni2_e ,,39959.4825,100000000
H2O2tex_b,Hydrogen peroxide transport via diffusion (external),h2o2_p  -> h2o2_e ,,39959.4825,100000000
ADEtex_b,Adenine transport via diffusion (extracellular to periplasm),ade_p  -> ade_e ,,39959.4825,100000000
AGMtex_b,Agmatine transport via diffusion (extracellular to periplasm),agm_p  -> agm_e ,,39959.4825,100000000
ALAtex_b,L-alanine transport via diffusion (extracellular to periplasm),ala__L_p  -> ala__L_e ,,39959.4825,100000000
BALAtex_b,Beta-alanine transport via diffusion (extracellular to periplasm),ala_B_p  -> ala_B_e ,,39959.4825,100000000
DALAtex_b,D-Alanine transport via diffusion (extracellular to periplasm),ala__D_p  -> ala__D_e ,,39959.4825,100000000
AMPtex_b,AMP transport via diffusion (extracellular to periplasm),amp_p  -> amp_e ,,39959.4825,100000000
ARBtex_b,L-arabinose transport via diffusion (extracellular to periplasm),arab__L_p  -> arab__L_e ,,39959.4825,100000000
ARGtex_b,L-arginine transport via diffusion (extracellular to periplasm),arg__L_p  -> arg__L_e ,,39959.4825,100000000
ASCBtex_b,L-ascorbate transport via diffusion (extracellular to periplasm),ascb__L_p  -> ascb__L_e ,,39959.4825,100000000
MMETtex_b,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),mmet_p  -> mmet_e ,,39959.4825,100000000
FE3tex_b,Iron (III) transport via diffusion (extracellular to periplasm),fe3_p  -> fe3_e ,,39959.4825,100000000
MG2tex_b,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),mg2_p  -> mg2_e ,,39959.4825,100000000
Zn2tex_b,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),zn2_p  -> zn2_e ,,39959.4825,100000000
CD2tex_b,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),cd2_p  -> cd2_e ,,39959.4825,100000000
ASO3tex_b,Arsenite transport via diffusion (extracellular to periplasm),aso3_p  -> aso3_e ,,39959.4825,100000000
MANGLYCtex_b,2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm),manglyc_p  -> manglyc_e ,,39959.4825,100000000
FRUURtex_b,D-fructuronate transport via diffusion (extracellular),fruur_p  -> fruur_e ,,39959.4825,100000000
GLYCAtex_b,D-glycerate transport via diffusion (extracellular to periplasm),glyc__R_p  -> glyc__R_e ,,39959.4825,100000000
COBALT2tex_b,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),cobalt2_p  -> cobalt2_e ,,39959.4825,100000000
DIMPtex_b,DIMP transport via diffusion (extracellular to periplasm),dimp_p  -> dimp_e ,,39959.4825,100000000
XTSNtex_b,Xanthosine transport via diffusion (extracellular to periplasm),xtsn_p  -> xtsn_e ,,39959.4825,100000000
HG2tex_b,Mercury (Hg+2) transport via diffusion (extracellular to periplasm),hg2_p  -> hg2_e ,,39959.4825,100000000
DHAtex_b,Dihydroxyacetone transport via diffusion (extracellular to periplasm),dha_p  -> dha_e ,,39959.4825,100000000
ETOHtex_b,Ethanol transport via diffusion (extracellular to periplasm),etoh_p  -> etoh_e ,,39959.4825,100000000
ACACtex_b,Acetoacetate transport via diffusion (extracellular to periplasm),acac_p  -> acac_e ,,39959.4825,100000000
H2Stex_b,H2s transport via diffusion (extracellular to periplasm),h2s_p  -> h2s_e ,,39959.4825,100000000
4PEPTtex_b,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),LalaDgluMdapDala_p  -> LalaDgluMdapDala_e ,,39959.4825,100000000
CU2tex_b,Copper (Cu+2) transport via diffusion (extracellular to periplasm),cu2_p  -> cu2_e ,,39959.4825,100000000
CLtex_b,Chloride (Cl-1) transport via diffusion (extracellular to periplasm),cl_p  -> cl_e ,,39959.4825,100000000
PROtex_b,L-proline transport via diffusion (extracellular to periplasm),pro__L_p  -> pro__L_e ,,39959.4825,100000000
SBTtex_b,D-sorbitol transport via diffusion (extracellular to periplasm),sbt__D_p  -> sbt__D_e ,,39959.4825,100000000
AKGtex_b,Alpha-ketoglutarate transport via diffusion (extracellular to periplasm),akg_p  -> akg_e ,,39959.4825,100000000
ALLTNtex_b,Allantoin transport via diffusion (extracellular to periplasm),alltn_p  -> alltn_e ,,39959.4825,100000000
ASNtex_b,L-asparagine transport via diffusion (extracellular to periplasm),asn__L_p  -> asn__L_e ,,39959.4825,100000000
TYMtex_b,Tyramine transport via diffusion (extracellular to periplasm),tym_p  -> tym_e ,,39959.4825,100000000
CMPtex_b,CMP transport via diffusion (extracellular to periplasm),cmp_p  -> cmp_e ,,39959.4825,100000000
DUMPtex_b,DUMP transport via diffusion (extracellular to periplasm),dump_p  -> dump_e ,,39959.4825,100000000
XMPtex_b,XMP transport via diffusion (extracellular to periplasm),xmp_p  -> xmp_e ,,39959.4825,100000000
3PEPTtex_b,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm),LalaDgluMdap_p  -> LalaDgluMdap_e ,,39959.4825,100000000
ANHGMtex_b,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),anhgm_p  -> anhgm_e ,,39959.4825,100000000
FALDtex_b,Formaldehyde transport via diffusion (extracellular to periplasm),fald_p  -> fald_e ,,39959.4825,100000000
CYSDtex_b,D-cysteine transport via diffusion (extracellular to periplasm),cys__D_p  -> cys__D_e ,,39959.4825,100000000
G3PItex_b,Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm),g3pi_p  -> g3pi_e ,,39959.4825,100000000
G3PGtex_b,Glycerophoglycerol transport via diffusion (extracellular to periplasm),g3pg_p  -> g3pg_e ,,39959.4825,100000000
G3PEtex_b,Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm),g3pe_p  -> g3pe_e ,,39959.4825,100000000
G3PCtex_b,Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm),g3pc_p  -> g3pc_e ,,39959.4825,100000000
DAMPtex_b,DAMP transport via diffusion (extracellular to periplasm),damp_p  -> damp_e ,,39959.4825,100000000
DCMPtex_b,DCMP transport via diffusion (extracellular to periplasm),dcmp_p  -> dcmp_e ,,39959.4825,100000000
DGMPtex_b,DGMP transport via diffusion (extracellular to periplasm),dgmp_p  -> dgmp_e ,,39959.4825,100000000
DTMPtex_b,DTMP transport via diffusion (extracellular to periplasm),dtmp_p  -> dtmp_e ,,39959.4825,100000000
GMPtex_b,GMP transport via diffusion (extracellular to periplasm),gmp_p  -> gmp_e ,,39959.4825,100000000
IMPtex_b,IMP transport via diffusion (extracellular to periplasm),imp_p  -> imp_e ,,39959.4825,100000000
UMPtex_b,UMP transport via diffusion (extracellular to periplasm),ump_p  -> ump_e ,,39959.4825,100000000
G1Ptex_b,D-glucose 1-phosphate transport via diffusion,g1p_p  -> g1p_e ,,39959.4825,100000000
SKMtex_b,Shikimate transport via diffusion (extracellular to periplasm),skm_p  -> skm_e ,,39959.4825,100000000
