Gamma,Change_Factor,Acetate_Threshold_Main,Acetate_Threshold_Slope_0_1,Acetate_Threshold_Slope_0_7,Needs_Revision,Consensus_Threshold
0.223702422145329,0.05,0.775104863713845,0.766832790925585,0.0124752170975877,0,0.775104863713845
0.223702422145329,0.1,0.773758719403817,0.766110732789852,0.0124753912049428,0,0.773758719403817
0.223702422145329,0.2,0.770693375067183,0.763841324206042,0.0124765277224139,0,0.770693375067183
0.223702422145329,0.5,0.741089400521599,0.741089400521599,0.012475610877888,0,0.741089400521599
0.223702422145329,1,0.686890718535495,0.686890718535495,0.0124714682308713,0,0.686890718535495
0.223702422145329,2,0.604779325855746,0.604779325855746,0.012476425666878,0,0.604779325855746
0.223702422145329,5,0.371686760205605,0.366978450738182,0.0124767342577998,0,0.371686760205605
0.223702422145329,10,0.225285246938041,0.0124783054925516,0.0124783054925516,1,0.225285246938041
0.223702422145329,20,0.119692678413248,0.119692678413248,0.0124786062182431,0,0.119692678413248
0.223702422145329,50,0.0453749215191031,0.0123727781934844,0,1,0.0453749215191031
0.230795847750865,0.02,0.776221787686493,0.767430608703966,0.0124783348471195,0,0.776221787686493
0.230795847750865,0.05,0.775104863713848,0.76683279092558,0.0124750257173037,0,0.775104863713848
0.230795847750865,0.1,0.773758719403811,0.76611073278985,0.0124772503519458,0,0.773758719403811
0.230795847750865,0.2,0.771085416409272,0.764078193245389,0.012473972701055,0,0.771085416409272
0.230795847750865,0.5,0.756274515272006,0.756274515272006,0.0124760429691699,0,0.756274515272006
0.230795847750865,1,0.709044842918032,0.70450997099107,0.0124714682308338,0,0.709044842918032
0.230795847750865,2,0.605745323136929,0.605745323136929,0.0124764013896673,0,0.605745323136929
0.230795847750865,5,0.371686760205605,0.366978450738181,0.0124776957306567,0,0.371686760205605
0.230795847750865,10,0.225285246938043,0.222112376912554,0.0124783437527625,0,0.225285246938043
0.230795847750865,20,0.11969306336657,0.11969306336657,0.0124777475850285,0,0.11969306336657
0.230795847750865,50,0.0453760443208292,0,0,1,0.0453760443208292
0.237543252595156,0.02,0.776221787686495,0.767430608703965,0.0124759503298198,0,0.776221787686495
0.237543252595156,0.05,0.775104859732002,0.766832790925581,0.0124775270011672,0,0.775104859732002
0.237543252595156,0.1,0.773758719403819,0.766110732789857,0.0124772476540332,0,0.773758719403819
0.237543252595156,0.2,0.771085416409278,0.764078193245387,0.0124771938790145,0,0.771085416409278
0.237543252595156,0.5,0.756274515272004,0.756274515272004,0.0124759414096712,0,0.756274515272004
0.237543252595156,1,0.725547553203363,0.719967552572474,0.012476557007051,0,0.725547553203363
0.237543252595156,2,0.605745334850602,0.0124733235869393,0,1,0.605745334850602
0.237543252595156,5,0.371686760205608,0.366978450738181,0.0124762388620823,0,0.371686760205608
0.237543252595156,10,0.225285246938044,0.222112376912554,0.0124759287778883,0,0.225285246938044
0.237543252595156,20,0.119692678413249,0,0,1,0.119692678413249
0.237543252595156,50,0.0453760443208285,0,0,1,0.0453760443208285
0.243944636678201,0.02,0.776221787686493,0.767430608703964,0.0124761521851387,0,0.776221787686493
0.243944636678201,0.05,0.775104863713843,0.766832790925576,0.0124781975959916,0,0.775104863713843
0.243944636678201,0.1,0.773758719403817,0.766110732789856,0.0124755727573657,0,0.773758719403817
0.243944636678201,0.2,0.771085416409276,0.764078193245387,0.0124768942476585,0,0.771085416409276
0.243944636678201,0.5,0.756274515272005,0.756274515272005,0.0124743524905515,0,0.756274515272005
0.243944636678201,1,0.726988848810902,0.720159222552197,0.0124752295887598,0,0.726988848810902
0.243944636678201,2,0.605745334850603,0.605745334850603,0.0124764013896674,0,0.605745334850603
0.243944636678201,5,0.371686760205607,0.0124767342577994,0,1,0.371686760205607
0.243944636678201,10,0.225285246938044,0.222112376912554,0.0124759284876022,0,0.225285246938044
0.243944636678201,20,0.119692678413249,0,0,1,0.119692678413249
0.243944636678201,50,0.0453760443208288,0.012321178077814,0,1,0.0453760443208288
0.25,0.02,0.776221787686493,0.767430608703966,0.0124774283106805,0,0.776221787686493
0.25,0.05,0.775104863713846,0.766832790925581,0.0124750548327288,0,0.775104863713846
0.25,0.1,0.77375871940382,0.766110732789854,0.0124749906580946,0,0.77375871940382
0.25,0.2,0.771085416409277,0.764078193245391,0.0124765034447875,0,0.771085416409277
0.25,0.5,0.756274515272001,0.756274515272001,0.0124764181248269,0,0.756274515272001
0.25,1,0.726988848810898,0.720159222552201,0.0124759455382955,0,0.726988848810898
0.25,2,0.605745334850602,0.605745334850602,0.0124764013896674,0,0.605745334850602
0.25,5,0.371686760205606,0.366978427485379,0.0124775586527972,0,0.371686760205606
0.25,10,0.225285246938042,0.222112376912555,0.0124759576616708,0,0.225285246938042
0.25,20,0.11969267841325,0.11969267841325,0.0124777475850285,0,0.11969267841325
0.25,50,0.0453760443208296,0.0123738707715953,0,1,0.0453760443208296
0.255709342560554,0.02,0.776221787686492,0.767430608703963,0.0124761138657918,0,0.776221787686492
0.255709342560554,0.05,0.775104859732006,0.766832790925581,0.0124755846443334,0,0.775104859732006
0.255709342560554,0.1,0.773758719403821,0.766110732789853,0.0124752170492117,0,0.773758719403821
0.255709342560554,0.2,0.771085416409277,0.76407819324539,0.0124770047849971,0,0.771085416409277
0.255709342560554,0.5,0.756274515272003,0.756274515272003,0.0124766080191812,0,0.756274515272003
0.255709342560554,1,0.726988848810903,0.720159222552196,0.0124766117582548,0,0.726988848810903
0.255709342560554,2,0.605745334850601,0.605745334850601,0.0124764256669414,0,0.605745334850601
0.255709342560554,5,0.371686760205608,0.366978450738181,0.0124759452034669,0,0.371686760205608
0.255709342560554,10,0.225285246938044,0.222112376912557,0.0124763025195017,0,0.225285246938044
0.255709342560554,20,0.119692678413248,0.119692678413248,0.0124789190978951,0,0.119692678413248
0.255709342560554,50,0.0453760443208285,0,0,1,0.0453760443208285
0.261072664359862,0.02,0.776221787686493,0.767430608703966,0.0124770204531838,0,0.776221787686493
0.261072664359862,0.05,0.775104863713847,0.766832790925584,0.0124768969734122,0,0.775104863713847
0.261072664359862,0.1,0.773758719403822,0.766110732789859,0.0124755727573379,0,0.773758719403822
0.261072664359862,0.2,0.771084726685711,0.764077509789684,0.0124768499174208,0,0.771084726685711
0.261072664359862,0.5,0.756274515272001,0.756274515272001,0.0124747305724894,0,0.756274515272001
0.261072664359862,1,0.726988848810902,0.720159222552198,0.0124747343079913,0,0.726988848810902
0.261072664359862,2,0.605745323136929,0.605745323136929,0.0124764013896673,0,0.605745323136929
0.261072664359862,5,0.371686760205605,0.366978450738181,0.0124736921728955,0,0.371686760205605
0.261072664359862,10,0.225285246938043,0.222112376912553,0.0124759579519611,0,0.225285246938043
0.261072664359862,20,0.119692678413248,0.119692678413248,0.0124780472573914,0,0.119692678413248
0.261072664359862,50,0.0453760443208296,0,0,1,0.0453760443208296
0.266089965397924,0.02,0.776220464815221,0.767428946300105,0.0124761235322924,0,0.776220464815221
0.266089965397924,0.05,0.775104863713843,0.766832790925581,0.0124752095569394,0,0.775104863713843
0.266089965397924,0.1,0.773758719403821,0.76611073278985,0.0124751879330236,0,0.773758719403821
0.266089965397924,0.2,0.771085416409281,0.76407819324539,0.0124764943360534,0,0.771085416409281
0.266089965397924,0.5,0.756274515272001,0.756274515272001,0.0124763416890169,0,0.756274515272001
0.266089965397924,1,0.726988848810902,0.720159222552194,0.0124765953297023,0,0.726988848810902
0.266089965397924,2,0.605745334850596,0.605745334850596,0.0124767009973712,0,0.605745334850596
0.266089965397924,5,0.371686760205608,0.366978450738179,0.0124786067910794,0,0.371686760205608
0.266089965397924,10,0.225285955307178,0.222113064929579,0.0124766021224573,0,0.225285955307178
0.266089965397924,20,0.119692678413248,0.119692678413248,0.0124777475850284,0,0.119692678413248
0.266089965397924,50,0.0453760443208287,0,0,1,0.0453760443208287
0.27076124567474,0.02,0.776221787686493,0.767430608703966,0.0124760847454224,0,0.776221787686493
0.27076124567474,0.05,0.775104863713843,0.766832790925583,0.012475326774802,0,0.775104863713843
0.27076124567474,0.1,0.773758719403819,0.766110732789848,0.012475047292393,0,0.773758719403819
0.27076124567474,0.2,0.771085416409275,0.764078193245387,0.01247649556995,0,0.771085416409275
0.27076124567474,0.5,0.756274515272,0.756274515272,0.0124765918097444,0,0.756274515272
0.27076124567474,1,0.726988848810902,0.720159222552196,0.0124717774263167,0,0.726988848810902
0.27076124567474,2,0.605745334850595,0.605745334850595,0.0124764256669358,0,0.605745334850595
0.27076124567474,5,0.371686760205607,0.366978450738182,0.0124767342577994,0,0.371686760205607
0.27076124567474,10,0.225285246938044,0.222112376912555,0.0124762130494568,0,0.225285246938044
0.27076124567474,20,0.11969267841325,0.11969267841325,0.0124777583772426,0,0.11969267841325
0.27076124567474,50,0.0453760443208285,0.0123212322140477,0,1,0.0453760443208285
0.275086505190311,0.02,0.776221787686492,0.767430608703962,0.0124761111684478,0,0.776221787686492
0.275086505190311,0.05,0.775104863713847,0.766832790925583,0.012477646083515,0,0.775104863713847
0.275086505190311,0.1,0.773758719403819,0.766110732789848,0.0124770892820654,0,0.773758719403819
0.275086505190311,0.2,0.771085416409279,0.76407819324539,0.0124765600926656,0,0.771085416409279
0.275086505190311,0.5,0.756274515271997,0.756274515271997,0.0124765578365461,0,0.756274515271997
0.275086505190311,1,0.726988848810897,0.720159222552196,0.0124765953297417,0,0.726988848810897
0.275086505190311,2,0.605745334850602,0.605745334850602,0.0124767009973712,0,0.605745334850602
0.275086505190311,5,0.371686760205606,0.366978450738182,0.0124763732840759,0,0.371686760205606
0.275086505190311,10,0.225285246938043,0.222112376912557,0.0124783313139332,0,0.225285246938043
0.275086505190311,20,0.119692678413249,0,0,1,0.119692678413249
0.275086505190311,50,0.0453760443208293,0.0123212322140477,0,1,0.0453760443208293
0.279065743944637,0.02,0.776221783782903,0.767430608703966,0.0124760388909453,0,0.776221783782903
0.279065743944637,0.05,0.775104863713843,0.766832790925577,0.012476689984661,0,0.775104863713843
0.279065743944637,0.1,0.773758719403817,0.766110732789852,0.0124750764078606,0,0.773758719403817
0.279065743944637,0.2,0.771084767738319,0.764077550469214,0.0124764038808725,0,0.771084767738319
0.279065743944637,0.5,0.756274515272,0.756274515272,0.0124747075186038,0,0.756274515272
